model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,visa,macaroni2,good,844.0,0.3701171875,dataset\Visa\macaroni2/Data/Images/Normal/0844.JPG
winclip,visa,macaroni2,good,688.0,0.2281494140625,dataset\Visa\macaroni2/Data/Images/Normal/0688.JPG
winclip,visa,macaroni2,good,107.0,0.2120361328125,dataset\Visa\macaroni2/Data/Images/Normal/0107.JPG
winclip,visa,macaroni2,good,994.0,0.2069091796875,dataset\Visa\macaroni2/Data/Images/Normal/0994.JPG
winclip,visa,macaroni2,good,208.0,0.204345703125,dataset\Visa\macaroni2/Data/Images/Normal/0208.JPG
winclip,visa,macaroni2,good,483.0,0.19677734375,dataset\Visa\macaroni2/Data/Images/Normal/0483.JPG
winclip,visa,macaroni2,good,170.0,0.19189453125,dataset\Visa\macaroni2/Data/Images/Normal/0170.JPG
winclip,visa,macaroni2,good,964.0,0.1895751953125,dataset\Visa\macaroni2/Data/Images/Normal/0964.JPG
winclip,visa,macaroni2,good,261.0,0.1871337890625,dataset\Visa\macaroni2/Data/Images/Normal/0261.JPG
winclip,visa,macaroni2,good,552.0,0.1871337890625,dataset\Visa\macaroni2/Data/Images/Normal/0552.JPG
