model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,visa,macaroni2,Anomaly,84.0,0.049591064453125,dataset\Visa\macaroni2/Data/Images/Anomaly/084.JPG
winclip,visa,macaroni2,Anomaly,88.0,0.049591064453125,dataset\Visa\macaroni2/Data/Images/Anomaly/088.JPG
winclip,visa,macaroni2,Anomaly,87.0,0.05108642578125,dataset\Visa\macaroni2/Data/Images/Anomaly/087.JPG
winclip,visa,macaroni2,Anomaly,15.0,0.056640625,dataset\Visa\macaroni2/Data/Images/Anomaly/015.JPG
winclip,visa,macaroni2,Anomaly,57.0,0.0574951171875,dataset\Visa\macaroni2/Data/Images/Anomaly/057.JPG
winclip,visa,macaroni2,Anomaly,3.0,0.058349609375,dataset\Visa\macaroni2/Data/Images/Anomaly/003.JPG
winclip,visa,macaroni2,Anomaly,82.0,0.06280517578125,dataset\Visa\macaroni2/Data/Images/Anomaly/082.JPG
winclip,visa,macaroni2,Anomaly,47.0,0.063720703125,dataset\Visa\macaroni2/Data/Images/Anomaly/047.JPG
winclip,visa,macaroni2,Anomaly,9.0,0.063720703125,dataset\Visa\macaroni2/Data/Images/Anomaly/009.JPG
winclip,visa,macaroni2,Anomaly,86.0,0.06561279296875,dataset\Visa\macaroni2/Data/Images/Anomaly/086.JPG
