model,dataset,class,defect_type,sample_id,image_score,query_path
anomalyclip,visa,pcb2,good,208.0,0.9272257685661316,dataset\Visa\pcb2/Data/Images/Normal/0208.JPG
anomalyclip,visa,pcb2,good,11.0,0.926276683807373,dataset\Visa\pcb2/Data/Images/Normal/0011.JPG
anomalyclip,visa,pcb2,good,107.0,0.9241424202919006,dataset\Visa\pcb2/Data/Images/Normal/0107.JPG
anomalyclip,visa,pcb2,good,297.0,0.9234479665756226,dataset\Visa\pcb2/Data/Images/Normal/0297.JPG
anomalyclip,visa,pcb2,good,237.0,0.9218742847442628,dataset\Visa\pcb2/Data/Images/Normal/0237.JPG
anomalyclip,visa,pcb2,good,974.0,0.917783498764038,dataset\Visa\pcb2/Data/Images/Normal/0974.JPG
anomalyclip,visa,pcb2,good,457.0,0.914794623851776,dataset\Visa\pcb2/Data/Images/Normal/0457.JPG
anomalyclip,visa,pcb2,good,46.0,0.9125986099243164,dataset\Visa\pcb2/Data/Images/Normal/0046.JPG
anomalyclip,visa,pcb2,good,619.0,0.907337248325348,dataset\Visa\pcb2/Data/Images/Normal/0619.JPG
anomalyclip,visa,pcb2,good,730.0,0.9043267369270324,dataset\Visa\pcb2/Data/Images/Normal/0730.JPG
