model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,visa,pcb2,Anomaly,2.0,0.07159423828125,dataset\Visa\pcb2/Data/Images/Anomaly/002.JPG
winclip,visa,pcb2,Anomaly,43.0,0.0838623046875,dataset\Visa\pcb2/Data/Images/Anomaly/043.JPG
winclip,visa,pcb2,Anomaly,71.0,0.08758544921875,dataset\Visa\pcb2/Data/Images/Anomaly/071.JPG
winclip,visa,pcb2,Anomaly,28.0,0.08880615234375,dataset\Visa\pcb2/Data/Images/Anomaly/028.JPG
winclip,visa,pcb2,Anomaly,3.0,0.0953369140625,dataset\Visa\pcb2/Data/Images/Anomaly/003.JPG
winclip,visa,pcb2,Anomaly,46.0,0.09808349609375,dataset\Visa\pcb2/Data/Images/Anomaly/046.JPG
winclip,visa,pcb2,Anomaly,97.0,0.10089111328125,dataset\Visa\pcb2/Data/Images/Anomaly/097.JPG
winclip,visa,pcb2,Anomaly,14.0,0.10089111328125,dataset\Visa\pcb2/Data/Images/Anomaly/014.JPG
winclip,visa,pcb2,Anomaly,98.0,0.103759765625,dataset\Visa\pcb2/Data/Images/Anomaly/098.JPG
winclip,visa,pcb2,Anomaly,29.0,0.105224609375,dataset\Visa\pcb2/Data/Images/Anomaly/029.JPG
