model,dataset,class,defect_type,sample_id,image_score,query_path
winclip,visa,pcb3,good,657.0,0.090087890625,dataset\Visa\pcb3/Data/Images/Normal/0657.JPG
winclip,visa,pcb3,good,214.0,0.08880615234375,dataset\Visa\pcb3/Data/Images/Normal/0214.JPG
winclip,visa,pcb3,good,871.0,0.08758544921875,dataset\Visa\pcb3/Data/Images/Normal/0871.JPG
winclip,visa,pcb3,good,402.0,0.0850830078125,dataset\Visa\pcb3/Data/Images/Normal/0402.JPG
winclip,visa,pcb3,good,935.0,0.08270263671875,dataset\Visa\pcb3/Data/Images/Normal/0935.JPG
winclip,visa,pcb3,good,552.0,0.08154296875,dataset\Visa\pcb3/Data/Images/Normal/0552.JPG
winclip,visa,pcb3,good,690.0,0.08038330078125,dataset\Visa\pcb3/Data/Images/Normal/0690.JPG
winclip,visa,pcb3,good,940.0,0.0792236328125,dataset\Visa\pcb3/Data/Images/Normal/0940.JPG
winclip,visa,pcb3,good,779.0,0.07806396484375,dataset\Visa\pcb3/Data/Images/Normal/0779.JPG
winclip,visa,pcb3,good,46.0,0.07696533203125,dataset\Visa\pcb3/Data/Images/Normal/0046.JPG
