model,dataset,class,defect_type,auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,auroc_pct,rank_within_class
adaptclip,mvtec,cable,cut_outer_insulation,0.9793103448275862,58,10,0.8254736949657572,0.8925082087516785,0.06703451378592129,97.93103448275862,1.0
adaptclip,mvtec,cable,combined,0.938871473354232,58,11,0.8254736949657572,0.8681619925932451,0.04268829762748794,93.88714733542321,2.0
adaptclip,mvtec,cable,poke_insulation,0.9344827586206896,58,10,0.8254736949657572,0.8741940677165985,0.04872037275084129,93.44827586206897,3.0
adaptclip,mvtec,cable,missing_wire,0.9137931034482758,58,10,0.8254736949657572,0.8621610045433045,0.03668730957754729,91.37931034482759,4.0
adaptclip,mvtec,cable,bent_wire,0.810344827586207,58,13,0.8254736949657572,0.8548660920216486,0.029392397055891473,81.0344827586207,5.0
adaptclip,mvtec,cable,cut_inner_insulation,0.79064039408867,58,14,0.8254736949657572,0.8477401392800468,0.02226644431428959,79.064039408867,6.0
adaptclip,mvtec,cable,cable_swap,0.7456896551724138,58,12,0.8254736949657572,0.8417322238286337,0.016258528862876487,74.56896551724138,7.0
adaptclip,mvtec,cable,missing_cable,0.6494252873563218,58,12,0.8254736949657572,0.8337186972300211,0.008245002264263945,64.94252873563218,8.0
adaptclip,mvtec,pill,combined,0.9230769230769231,26,17,0.4704058812214778,0.7523916924701017,0.28198581124862393,92.3076923076923,1.0
adaptclip,mvtec,pill,faulty_imprint,0.9129554655870444,26,19,0.4704058812214778,0.7263910582191065,0.25598517699762874,91.29554655870444,2.0
adaptclip,mvtec,pill,pill_type,0.9102564102564102,26,9,0.4704058812214778,0.7450470990604825,0.2746412178390047,91.02564102564102,3.0
adaptclip,mvtec,pill,contamination,0.8663003663003663,26,21,0.4704058812214778,0.6818148138977232,0.21140893267624544,86.63003663003663,4.0
adaptclip,mvtec,pill,color,0.8492307692307692,26,25,0.4704058812214778,0.6636090075969696,0.1932031263754918,84.92307692307692,5.0
adaptclip,mvtec,pill,scratch,0.842948717948718,26,24,0.4704058812214778,0.673215019206206,0.20280913798472816,84.2948717948718,6.0
adaptclip,mvtec,pill,crack,0.826923076923077,26,26,0.4704058812214778,0.6462309520978194,0.17582507087634164,82.6923076923077,7.0
adaptclip,mvtec,screw,thread_top,0.9225874867444327,41,23,0.8118767403974766,0.8899666563324307,0.07808991593495407,92.25874867444327,1.0
adaptclip,mvtec,screw,manipulated_front,0.8963414634146342,41,24,0.8118767403974766,0.8801478346188863,0.06827109422140976,89.63414634146342,2.0
adaptclip,mvtec,screw,scratch_head,0.8404471544715448,41,24,0.8118767403974766,0.8456478789448738,0.03377113854739722,84.04471544715449,3.0
adaptclip,mvtec,screw,scratch_neck,0.8234146341463414,41,25,0.8118767403974766,0.8660953617095948,0.05421862131211819,82.34146341463415,4.0
adaptclip,mvtec,screw,thread_side,0.8123011664899258,41,23,0.8118767403974766,0.8589954220730326,0.047118681675555996,81.23011664899258,5.0
adaptclip,mvtec,transistor,damaged_case,0.995,60,10,0.7394253174463908,0.9037989914417267,0.16437367399533587,99.5,1.0
adaptclip,mvtec,transistor,bent_lead,0.9216666666666666,60,10,0.7394253174463908,0.840433019399643,0.10100770195325215,92.16666666666666,2.0
adaptclip,mvtec,transistor,cut_lead,0.8483333333333334,60,10,0.7394253174463908,0.8244781196117401,0.08505280216534927,84.83333333333334,3.0
adaptclip,mvtec,transistor,misplaced,0.7816666666666666,60,10,0.7394253174463908,0.8086093306541443,0.06918401320775347,78.16666666666666,4.0
adaptclip,visa,cashew,unknown,0.862,50,100,0.36250356733798983,0.5973971596360207,0.23489359229803086,86.2,1.0
adaptclip,visa,macaroni1,unknown,0.8271,100,100,0.40597581803798677,0.4982865384221077,0.09231072038412091,82.71,1.0
adaptclip,visa,macaroni2,unknown,0.715,100,100,0.9107017332315445,0.9551280844211578,0.044426351189613356,71.5,1.0
adaptclip,visa,pcb2,unknown,0.6613999999999999,100,100,0.6973877304792404,0.7640749228000641,0.06668719232082365,66.13999999999999,1.0
adaptclip,visa,pcb3,unknown,0.6546534653465346,101,100,0.7148483481147502,0.7574290186166763,0.042580670501926154,65.46534653465346,1.0
anomalyclip,mvtec,cable,missing_cable,0.9813218390804597,58,12,0.8895057799487278,0.9556061575810114,0.0661003776322836,98.13218390804596,1.0
anomalyclip,mvtec,cable,cable_swap,0.9640804597701149,58,12,0.8895057799487278,0.9449132283528646,0.055407448404136805,96.4080459770115,2.0
anomalyclip,mvtec,cable,combined,0.945141065830721,58,11,0.8895057799487278,0.9541337435895746,0.06462796364084678,94.5141065830721,3.0
anomalyclip,mvtec,cable,cut_outer_insulation,0.943103448275862,58,10,0.8895057799487278,0.9397676348686218,0.05026185491989399,94.3103448275862,4.0
anomalyclip,mvtec,cable,cut_inner_insulation,0.8780788177339901,58,14,0.8895057799487278,0.9305044540337154,0.040998674084987585,87.807881773399,5.0
anomalyclip,mvtec,cable,bent_wire,0.8103448275862069,58,13,0.8895057799487278,0.9225798707741958,0.03307409082546797,81.03448275862068,6.0
anomalyclip,mvtec,cable,poke_insulation,0.7586206896551725,58,10,0.8895057799487278,0.9212795495986938,0.03177376964996603,75.86206896551725,7.0
anomalyclip,mvtec,cable,missing_wire,0.7465517241379311,58,10,0.8895057799487278,0.9175233244895935,0.02801754454086569,74.65517241379311,8.0
anomalyclip,mvtec,pill,pill_type,0.9743589743589745,26,9,0.9748275371698233,0.9915571941269768,0.01672965695715356,97.43589743589745,1.0
anomalyclip,mvtec,pill,combined,0.8981900452488688,26,17,0.9748275371698233,0.9863948261036593,0.011567288933835962,89.81900452488688,2.0
anomalyclip,mvtec,pill,color,0.8892307692307693,26,25,0.9748275371698233,0.9856967329978943,0.010869195828070999,88.92307692307693,3.0
anomalyclip,mvtec,pill,contamination,0.8443223443223443,26,21,0.9748275371698233,0.9821062088012695,0.007278671631446243,84.43223443223444,4.0
anomalyclip,mvtec,pill,scratch,0.8253205128205128,26,24,0.9748275371698233,0.9824767485260963,0.007649211356273056,82.53205128205127,5.0
anomalyclip,mvtec,pill,faulty_imprint,0.8097165991902833,26,19,0.9748275371698233,0.9828880648863944,0.008060527716571064,80.97165991902833,6.0
anomalyclip,mvtec,pill,crack,0.6523668639053255,26,26,0.9748275371698233,0.9781837669702677,0.003356229800444366,65.23668639053255,7.0
anomalyclip,mvtec,screw,thread_top,0.9077412513255567,41,23,0.9636865534433504,0.9849449655284053,0.021258412085054856,90.77412513255567,1.0
anomalyclip,mvtec,screw,thread_side,0.8727465535524921,41,23,0.9636865534433504,0.9833209799683612,0.019634426525010795,87.27465535524921,2.0
anomalyclip,mvtec,screw,scratch_neck,0.84,41,25,0.9636865534433504,0.9816538095474243,0.017967256104073903,84.0,3.0
anomalyclip,mvtec,screw,scratch_head,0.8272357723577235,41,24,0.9636865534433504,0.9804266194502512,0.01674006600690081,82.72357723577235,4.0
anomalyclip,mvtec,screw,manipulated_front,0.7693089430894309,41,24,0.9636865534433504,0.9786048953731855,0.0149183419298351,76.93089430894308,5.0
anomalyclip,mvtec,transistor,cut_lead,0.9133333333333333,60,10,0.7889838149150212,0.8833553552627563,0.0943715403477351,91.33333333333333,1.0
anomalyclip,mvtec,transistor,damaged_case,0.8866666666666667,60,10,0.7889838149150212,0.8815797150135041,0.09259590009848284,88.66666666666667,2.0
anomalyclip,mvtec,transistor,bent_lead,0.8633333333333333,60,10,0.7889838149150212,0.868046909570694,0.07906309465567274,86.33333333333333,3.0
anomalyclip,mvtec,transistor,misplaced,0.8316666666666667,60,10,0.7889838149150212,0.8646547198295593,0.0756709049145381,83.16666666666667,4.0
anomalyclip,visa,cashew,unknown,0.9582,50,100,0.9062927424907684,0.9700186085700989,0.0637258660793305,95.82000000000001,1.0
anomalyclip,visa,macaroni1,unknown,0.8864,100,100,0.888575559258461,0.9429687976837158,0.054393238425254786,88.64,1.0
anomalyclip,visa,macaroni2,unknown,0.7802,100,100,0.9200134980678558,0.9530065888166428,0.03299309074878698,78.02,1.0
anomalyclip,visa,pcb2,unknown,0.6894,100,100,0.8207786339521408,0.8554066157341004,0.03462798178195958,68.94,1.0
anomalyclip,visa,pcb3,unknown,0.7672277227722772,101,100,0.8733697598523432,0.9053231066465378,0.03195334679419459,76.72277227722772,1.0
