model,dataset,class,defect_type,auroc_pct,n_defect,std_defect_score,iqr_defect_score,range_defect_score,defect_to_good_std_ratio,bottom_anomaly_score,mean_defect_score
adaptclip,visa,pcb2,Anomaly,66.14,100,0.0983,0.1371,0.5119,0.8497,0.4313,0.7641
winclip,mvtec,screw,scratch_neck,75.2683,25,0.089,0.0967,0.3723,1.4507,0.1824,0.2736
adaptclip,visa,pcb3,Anomaly,65.4653,100,0.0879,0.1268,0.387,1.1345,0.5207,0.7574
winclip,mvtec,transistor,cut_lead,78.75,10,0.0819,0.083,0.2894,1.1069,0.1871,0.2934
winclip,mvtec,screw,scratch_head,76.7785,24,0.0799,0.08,0.35,1.3014,0.15,0.2784
adaptclip,mvtec,transistor,misplaced,78.1667,10,0.0729,0.0905,0.2235,1.3255,0.687,0.8086
winclip,mvtec,screw,manipulated_front,50.3049,24,0.0693,0.093,0.3001,1.1292,0.1225,0.2136
winclip,mvtec,screw,thread_side,73.5419,23,0.0646,0.0679,0.2764,1.0523,0.1384,0.2584
winclip,visa,macaroni2,Anomaly,66.795,100,0.0584,0.0716,0.2815,1.1057,0.0496,0.1364
winclip,mvtec,pill,pill_type,5.3419,9,0.0546,0.0679,0.1621,1.364,0.0396,0.1353
winclip,mvtec,pill,color,78.9231,25,0.048,0.0814,0.1663,1.1986,0.1968,0.2854
winclip,mvtec,cable,missing_wire,72.2414,10,0.0472,0.0551,0.1368,1.3228,0.0637,0.1185
anomalyclip,visa,pcb2,Anomaly,68.94,100,0.0458,0.0507,0.2202,1.0106,0.7488,0.8554
anomalyclip,mvtec,cable,missing_wire,74.6552,10,0.0386,0.0247,0.132,1.3497,0.8363,0.9175
anomalyclip,mvtec,cable,poke_insulation,75.8621,10,0.0378,0.0474,0.1091,1.3213,0.8517,0.9213
anomalyclip,visa,pcb3,Anomaly,76.7228,100,0.0358,0.0426,0.1903,1.1994,0.7829,0.9053
winclip,mvtec,cable,poke_insulation,77.5862,10,0.0345,0.0504,0.1008,0.9677,0.0637,0.1226
winclip,visa,pcb2,Anomaly,47.03,100,0.0339,0.0528,0.1735,0.7638,0.0716,0.1463
anomalyclip,visa,macaroni2,Anomaly,78.02,100,0.0279,0.0259,0.1535,0.6501,0.8364,0.953
winclip,visa,macaroni1,Anomaly,78.83,100,0.0276,0.0267,0.1632,1.5911,0.0311,0.075
adaptclip,mvtec,cable,cut_inner_insulation,79.064,14,0.0241,0.0391,0.0701,1.5127,0.8201,0.8477
adaptclip,mvtec,cable,missing_cable,64.9425,12,0.0216,0.0263,0.0757,1.3558,0.7895,0.8337
adaptclip,visa,macaroni2,Anomaly,71.5,100,0.0209,0.0202,0.1265,0.2201,0.8508,0.9551
adaptclip,mvtec,cable,cable_swap,74.569,12,0.0196,0.014,0.0656,1.2278,0.8138,0.8417
winclip,visa,pcb3,Anomaly,63.6584,100,0.016,0.0197,0.092,1.2136,0.0357,0.0632
anomalyclip,mvtec,screw,manipulated_front,76.9309,24,0.0112,0.0135,0.0499,0.6418,0.9429,0.9786
anomalyclip,mvtec,pill,crack,65.2367,26,0.008,0.0123,0.0304,1.2222,0.9595,0.9782
