model,dataset,class,n_normal,mean_normal_score,median_normal_score,p90_normal_score,max_normal_score
adaptclip,visa,macaroni2,100,0.9107,0.9474,0.9665,0.9795
adaptclip,mvtec,screw,41,0.8119,0.8064,0.8584,0.9094
adaptclip,visa,pcb2,100,0.6974,0.7207,0.8182,0.8786
adaptclip,mvtec,transistor,60,0.7394,0.7298,0.8105,0.8778
adaptclip,mvtec,cable,58,0.8255,0.8224,0.8436,0.8679
adaptclip,visa,pcb3,101,0.7148,0.7297,0.7942,0.8312
adaptclip,mvtec,pill,26,0.4704,0.4481,0.6335,0.7914
adaptclip,visa,macaroni1,100,0.406,0.4178,0.4737,0.5328
adaptclip,visa,cashew,50,0.3625,0.3634,0.4256,0.4935
anomalyclip,mvtec,pill,26,0.9748,0.9755,0.9815,0.9931
anomalyclip,mvtec,screw,41,0.9637,0.9641,0.9818,0.9872
anomalyclip,visa,macaroni2,100,0.92,0.9353,0.9606,0.9816
anomalyclip,visa,macaroni1,100,0.8886,0.8936,0.93,0.9724
anomalyclip,visa,cashew,50,0.9063,0.909,0.9462,0.9591
anomalyclip,mvtec,cable,58,0.8895,0.8908,0.926,0.9391
anomalyclip,visa,pcb3,101,0.8734,0.8761,0.9047,0.9317
anomalyclip,mvtec,transistor,60,0.789,0.7789,0.8661,0.906
anomalyclip,visa,pcb2,100,0.8208,0.8291,0.874,0.9045
winclip,mvtec,transistor,60,0.2184,0.2069,0.3146,0.5234
winclip,visa,cashew,50,0.2988,0.2942,0.3486,0.4226
winclip,mvtec,screw,41,0.2083,0.1968,0.2751,0.4148
winclip,visa,macaroni2,100,0.1062,0.094,0.1767,0.3701
winclip,mvtec,pill,26,0.2335,0.2254,0.2815,0.314
winclip,visa,pcb2,100,0.1524,0.1461,0.212,0.2815
winclip,mvtec,cable,58,0.0851,0.0793,0.1507,0.1733
winclip,visa,macaroni1,100,0.0496,0.0467,0.074,0.0901
winclip,visa,pcb3,101,0.056,0.0534,0.0759,0.0901
