dataset,class,defect_type,sample_id,label,query_path,adaptclip,anomalyclip,winclip,diff_adaptclip_minus_anomalyclip,abs_diff_adaptclip_vs_anomalyclip,diff_adaptclip_minus_winclip,abs_diff_adaptclip_vs_winclip,diff_anomalyclip_minus_winclip,abs_diff_anomalyclip_vs_winclip,score_range_across_models
mvtec,cable,bent_wire,0,1,dataset\MVTec\cable/test/bent_wire/000.png,0.9058431386947632,0.9178301692008972,0.1361083984375,-0.011987030506134033,0.011987030506134033,0.7697347402572632,0.7697347402572632,0.7817217707633972,0.7817217707633972,0.7817217707633972
mvtec,cable,bent_wire,1,1,dataset\MVTec\cable/test/bent_wire/001.png,0.8170427083969116,0.9040698409080504,0.1451416015625,-0.0870271325111388,0.0870271325111388,0.6719011068344116,0.6719011068344116,0.7589282393455504,0.7589282393455504,0.7589282393455504
mvtec,cable,bent_wire,2,1,dataset\MVTec\cable/test/bent_wire/002.png,0.8459254503250122,0.9312902092933656,0.1441650390625,-0.08536475896835338,0.08536475896835338,0.7017604112625122,0.7017604112625122,0.7871251702308656,0.7871251702308656,0.7871251702308656
mvtec,cable,bent_wire,3,1,dataset\MVTec\cable/test/bent_wire/003.png,0.8360015153884888,0.9141476154327391,0.363037109375,-0.07814610004425038,0.07814610004425038,0.47296440601348877,0.47296440601348877,0.5511105060577391,0.5511105060577391,0.5511105060577391
mvtec,cable,bent_wire,4,1,dataset\MVTec\cable/test/bent_wire/004.png,0.8283805847167969,0.8815504312515259,0.32763671875,-0.053169846534729004,0.053169846534729004,0.5007438659667969,0.5007438659667969,0.5539137125015259,0.5539137125015259,0.5539137125015259
mvtec,cable,bent_wire,5,1,dataset\MVTec\cable/test/bent_wire/005.png,0.859145998954773,0.9355987906455994,0.31396484375,-0.07645279169082642,0.07645279169082642,0.545181155204773,0.545181155204773,0.6216339468955994,0.6216339468955994,0.6216339468955994
mvtec,cable,bent_wire,6,1,dataset\MVTec\cable/test/bent_wire/006.png,0.8389773368835449,0.9429311752319336,0.1451416015625,-0.10395383834838867,0.10395383834838867,0.6938357353210449,0.6938357353210449,0.7977895736694336,0.7977895736694336,0.7977895736694336
mvtec,cable,bent_wire,7,1,dataset\MVTec\cable/test/bent_wire/007.png,0.8944146037101746,0.9474103450775146,0.2281494140625,-0.05299574136734009,0.05299574136734009,0.6662651896476746,0.6662651896476746,0.7192609310150146,0.7192609310150146,0.7192609310150146
mvtec,cable,bent_wire,8,1,dataset\MVTec\cable/test/bent_wire/008.png,0.8345822691917419,0.9340530633926392,0.0850830078125,-0.09947079420089722,0.09947079420089722,0.7494992613792419,0.7494992613792419,0.8489700555801392,0.8489700555801392,0.8489700555801392
mvtec,cable,bent_wire,9,1,dataset\MVTec\cable/test/bent_wire/009.png,0.8710333704948425,0.9075403809547424,0.1766357421875,-0.0365070104598999,0.0365070104598999,0.6943976283073425,0.6943976283073425,0.7309046387672424,0.7309046387672424,0.7309046387672424
mvtec,cable,bent_wire,10,1,dataset\MVTec\cable/test/bent_wire/010.png,0.8196014761924744,0.874430239200592,0.501953125,-0.054828763008117676,0.054828763008117676,0.31764835119247437,0.31764835119247437,0.37247711420059204,0.37247711420059204,0.37247711420059204
mvtec,cable,bent_wire,11,1,dataset\MVTec\cable/test/bent_wire/011.png,0.890493631362915,0.9534037709236144,0.5888671875,-0.06291013956069935,0.06291013956069935,0.30162644386291504,0.30162644386291504,0.3645365834236144,0.3645365834236144,0.3645365834236144
mvtec,cable,bent_wire,12,1,dataset\MVTec\cable/test/bent_wire/012.png,0.8718171119689941,0.9492822885513306,0.36669921875,-0.07746517658233643,0.07746517658233643,0.5051178932189941,0.5051178932189941,0.5825830698013306,0.5825830698013306,0.5825830698013306
mvtec,cable,cable_swap,0,1,dataset\MVTec\cable/test/cable_swap/000.png,0.8634096384048462,0.9289007186889648,0.106689453125,-0.06549108028411865,0.06549108028411865,0.7567201852798462,0.7567201852798462,0.8222112655639648,0.8222112655639648,0.8222112655639648
mvtec,cable,cable_swap,1,1,dataset\MVTec\cable/test/cable_swap/001.png,0.8713200092315674,0.970535933971405,0.11920166015625,-0.09921592473983765,0.09921592473983765,0.7521183490753174,0.7521183490753174,0.851334273815155,0.851334273815155,0.851334273815155
mvtec,cable,cable_swap,2,1,dataset\MVTec\cable/test/cable_swap/002.png,0.8245965242385864,0.9282819032669068,0.134765625,-0.10368537902832042,0.10368537902832042,0.6898308992385864,0.6898308992385864,0.7935162782669068,0.7935162782669068,0.7935162782669068
mvtec,cable,cable_swap,3,1,dataset\MVTec\cable/test/cable_swap/003.png,0.8137919902801514,0.9130229353904724,0.1466064453125,-0.09923094511032104,0.09923094511032104,0.6671855449676514,0.6671855449676514,0.7664164900779724,0.7664164900779724,0.7664164900779724
mvtec,cable,cable_swap,4,1,dataset\MVTec\cable/test/cable_swap/004.png,0.8401572108268738,0.9633122682571412,0.16455078125,-0.12315505743026745,0.12315505743026745,0.6756064295768738,0.6756064295768738,0.7987614870071412,0.7987614870071412,0.7987614870071412
mvtec,cable,cable_swap,5,1,dataset\MVTec\cable/test/cable_swap/005.png,0.8392214775085449,0.9473316073417664,0.107421875,-0.10811012983322144,0.10811012983322144,0.7317996025085449,0.7317996025085449,0.8399097323417664,0.8399097323417664,0.8399097323417664
mvtec,cable,cable_swap,6,1,dataset\MVTec\cable/test/cable_swap/006.png,0.8361618518829346,0.9412707686424256,0.138916015625,-0.10510891675949108,0.10510891675949108,0.6972458362579346,0.6972458362579346,0.8023547530174256,0.8023547530174256,0.8023547530174256
mvtec,cable,cable_swap,7,1,dataset\MVTec\cable/test/cable_swap/007.png,0.8356420397758484,0.9610973000526428,0.11676025390625,-0.12545526027679443,0.12545526027679443,0.7188817858695984,0.7188817858695984,0.8443370461463928,0.8443370461463928,0.8443370461463928
mvtec,cable,cable_swap,8,1,dataset\MVTec\cable/test/cable_swap/008.png,0.835627555847168,0.950269877910614,0.0994873046875,-0.11464232206344604,0.11464232206344604,0.736140251159668,0.736140251159668,0.850782573223114,0.850782573223114,0.850782573223114
mvtec,cable,cable_swap,9,1,dataset\MVTec\cable/test/cable_swap/009.png,0.8331329226493835,0.945723593235016,0.06878662109375,-0.11259067058563244,0.11259067058563244,0.7643463015556335,0.7643463015556335,0.876936972141266,0.876936972141266,0.876936972141266
mvtec,cable,cable_swap,10,1,dataset\MVTec\cable/test/cable_swap/010.png,0.8283209204673767,0.933549702167511,0.285400390625,-0.10522878170013428,0.10522878170013428,0.5429205298423767,0.5429205298423767,0.648149311542511,0.648149311542511,0.648149311542511
mvtec,cable,cable_swap,11,1,dataset\MVTec\cable/test/cable_swap/011.png,0.8794045448303223,0.9556621313095092,0.154052734375,-0.0762575864791869,0.0762575864791869,0.7253518104553223,0.7253518104553223,0.8016093969345092,0.8016093969345092,0.8016093969345092
mvtec,cable,combined,0,1,dataset\MVTec\cable/test/combined/000.png,0.8428553342819214,0.9454972147941588,0.093994140625,-0.10264188051223744,0.10264188051223744,0.7488611936569214,0.7488611936569214,0.8515030741691588,0.8515030741691588,0.8515030741691588
mvtec,cable,combined,1,1,dataset\MVTec\cable/test/combined/001.png,0.9007058143615723,0.9602372646331788,0.265869140625,-0.059531450271606556,0.059531450271606556,0.6348366737365723,0.6348366737365723,0.6943681240081788,0.6943681240081788,0.6943681240081788
mvtec,cable,combined,2,1,dataset\MVTec\cable/test/combined/002.png,0.8992313146591187,0.9216342568397522,0.346923828125,-0.022402942180633545,0.022402942180633545,0.5523074865341187,0.5523074865341187,0.5747104287147522,0.5747104287147522,0.5747104287147522
mvtec,cable,combined,3,1,dataset\MVTec\cable/test/combined/003.png,0.9080966711044312,0.9743974208831788,0.1422119140625,-0.06630074977874767,0.06630074977874767,0.7658847570419312,0.7658847570419312,0.8321855068206788,0.8321855068206788,0.8321855068206788
mvtec,cable,combined,4,1,dataset\MVTec\cable/test/combined/004.png,0.8797467947006226,0.8966431021690369,0.18359375,-0.016896307468414307,0.016896307468414307,0.6961530447006226,0.6961530447006226,0.7130493521690369,0.7130493521690369,0.7130493521690369
mvtec,cable,combined,5,1,dataset\MVTec\cable/test/combined/005.png,0.8429182767868042,0.951170027256012,0.1143798828125,-0.10825175046920776,0.10825175046920776,0.7285383939743042,0.7285383939743042,0.836790144443512,0.836790144443512,0.836790144443512
mvtec,cable,combined,6,1,dataset\MVTec\cable/test/combined/006.png,0.859670877456665,0.9772308468818665,0.219970703125,-0.11755996942520142,0.11755996942520142,0.639700174331665,0.639700174331665,0.7572601437568665,0.7572601437568665,0.7572601437568665
mvtec,cable,combined,7,1,dataset\MVTec\cable/test/combined/007.png,0.8910518884658813,0.9756909012794496,0.20947265625,-0.08463901281356823,0.08463901281356823,0.6815792322158813,0.6815792322158813,0.7662182450294496,0.7662182450294496,0.7662182450294496
