model,dataset,class,defect_type,auroc_pct,mean_defect_score,model_median_defect_score,confidence_margin_vs_model_median,mean_good_score,score_gap,bottom_anomaly_score,n_defect,well_ranked_but_weakly_activated
adaptclip,mvtec,pill,faulty_imprint,91.2955,0.7264,0.8404,-0.114,0.4704,0.256,0.5186,19,True
adaptclip,mvtec,pill,pill_type,91.0256,0.745,0.8404,-0.0954,0.4704,0.2746,0.4305,9,True
adaptclip,mvtec,pill,combined,92.3077,0.7524,0.8404,-0.088,0.4704,0.282,0.4784,17,True
anomalyclip,mvtec,transistor,cut_lead,91.3333,0.8834,0.9541,-0.0708,0.789,0.0944,0.7951,10,True
winclip,mvtec,cable,combined,93.5737,0.2046,0.271,-0.0664,0.0851,0.1195,0.094,11,True
winclip,mvtec,cable,missing_cable,90.5891,0.2086,0.271,-0.0624,0.0851,0.1235,0.0706,12,True
anomalyclip,mvtec,cable,cut_outer_insulation,94.3103,0.9398,0.9541,-0.0144,0.8895,0.0503,0.909,10,True
anomalyclip,mvtec,cable,cable_swap,96.408,0.9449,0.9541,-0.0092,0.8895,0.0554,0.913,12,True
anomalyclip,mvtec,cable,combined,94.5141,0.9541,0.9541,0.0,0.8895,0.0646,0.8966,11,True
winclip,mvtec,cable,bent_wire,93.2361,0.271,0.271,0.0,0.0851,0.1859,0.0851,13,True
adaptclip,mvtec,transistor,bent_lead,92.1667,0.8404,0.8404,0.0,0.7394,0.101,0.7692,10,True
adaptclip,visa,macaroni1,Anomaly,82.71,0.4983,0.8404,-0.3421,0.406,0.0923,0.3612,100,False
adaptclip,visa,cashew,Anomaly,86.2,0.5974,0.8404,-0.243,0.3625,0.2349,0.2595,100,False
winclip,visa,pcb3,Anomaly,63.6584,0.0632,0.271,-0.2078,0.056,0.0072,0.0357,100,False
winclip,visa,macaroni1,Anomaly,78.83,0.075,0.271,-0.196,0.0496,0.0254,0.0311,100,False
adaptclip,mvtec,pill,crack,82.6923,0.6462,0.8404,-0.1942,0.4704,0.1758,0.3796,26,False
adaptclip,mvtec,pill,color,84.9231,0.6636,0.8404,-0.1768,0.4704,0.1932,0.3338,25,False
adaptclip,mvtec,pill,scratch,84.2949,0.6732,0.8404,-0.1672,0.4704,0.2028,0.3941,24,False
adaptclip,mvtec,pill,contamination,86.63,0.6818,0.8404,-0.1586,0.4704,0.2114,0.4559,21,False
winclip,mvtec,cable,missing_wire,72.2414,0.1185,0.271,-0.1524,0.0851,0.0334,0.0637,10,False
