dataset,class,defect_type,auroc_pct,rank_low_to_high,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_defect_score,iqr_defect_score,range_defect_score,defect_to_good_std_ratio,top_normal_score,bottom_anomaly_score,weak_defect_type
mvtec,cable,missing_wire,72.2414,1,58,10,0.0851,0.1185,0.0334,0.0472,0.0551,0.1368,1.3228,0.1733,0.0637,True
mvtec,cable,poke_insulation,77.5862,2,58,10,0.0851,0.1226,0.0375,0.0345,0.0504,0.1008,0.9677,0.1733,0.0637,True
mvtec,cable,cable_swap,82.5431,3,58,12,0.0851,0.1369,0.0518,0.0537,0.0412,0.2166,1.5069,0.1733,0.0688,False
mvtec,cable,cut_outer_insulation,83.4483,4,58,10,0.0851,0.1408,0.0557,0.056,0.0538,0.1944,1.5716,0.1733,0.0854,False
mvtec,cable,cut_inner_insulation,84.7906,5,58,14,0.0851,0.1805,0.0954,0.1001,0.1122,0.3201,2.8084,0.1733,0.0759,False
mvtec,cable,missing_cable,90.5891,6,58,12,0.0851,0.2086,0.1235,0.114,0.0717,0.4138,3.1964,0.1733,0.0706,False
mvtec,cable,bent_wire,93.2361,7,58,13,0.0851,0.271,0.1859,0.155,0.2179,0.5038,4.3475,0.1733,0.0851,False
mvtec,cable,combined,93.5737,8,58,11,0.0851,0.2046,0.1195,0.0821,0.131,0.2529,2.3018,0.1733,0.094,False
mvtec,pill,pill_type,5.3419,1,26,9,0.2335,0.1353,-0.0982,0.0546,0.0679,0.1621,1.364,0.314,0.0396,True
mvtec,pill,color,78.9231,2,26,25,0.2335,0.2854,0.0519,0.048,0.0814,0.1663,1.1986,0.314,0.1968,True
mvtec,pill,crack,81.5828,3,26,26,0.2335,0.3024,0.0689,0.068,0.0854,0.2632,1.6991,0.314,0.1824,False
mvtec,pill,scratch,87.5,4,26,24,0.2335,0.3061,0.0726,0.0545,0.0546,0.2402,1.3632,0.314,0.1824,False
mvtec,pill,contamination,87.7289,5,26,21,0.2335,0.3054,0.0719,0.0528,0.0525,0.1866,1.3197,0.314,0.2281,False
mvtec,pill,faulty_imprint,88.9676,6,26,19,0.2335,0.3254,0.0919,0.0754,0.0659,0.2975,1.8835,0.314,0.2338,False
mvtec,pill,combined,99.6606,7,26,17,0.2335,0.418,0.1845,0.0634,0.0835,0.2239,1.584,0.314,0.3074,False
mvtec,screw,manipulated_front,50.3049,1,41,24,0.2083,0.2136,0.0054,0.0693,0.093,0.3001,1.1292,0.4148,0.1225,True
mvtec,screw,thread_side,73.5419,2,41,23,0.2083,0.2584,0.0502,0.0646,0.0679,0.2764,1.0523,0.4148,0.1384,True
mvtec,screw,scratch_neck,75.2683,3,41,25,0.2083,0.2736,0.0654,0.089,0.0967,0.3723,1.4507,0.4148,0.1824,True
mvtec,screw,scratch_head,76.7785,4,41,24,0.2083,0.2784,0.0701,0.0799,0.08,0.35,1.3014,0.4148,0.15,True
mvtec,screw,thread_top,84.5175,5,41,23,0.2083,0.3272,0.1189,0.1107,0.1276,0.4043,1.8031,0.4148,0.1733,False
mvtec,transistor,cut_lead,78.75,1,60,10,0.2184,0.2934,0.075,0.0819,0.083,0.2894,1.1069,0.5234,0.1871,True
mvtec,transistor,bent_lead,88.25,2,60,10,0.2184,0.3585,0.1401,0.1053,0.1215,0.3579,1.4228,0.5234,0.1968,False
mvtec,transistor,damaged_case,95.0833,3,60,10,0.2184,0.4552,0.2368,0.1543,0.1878,0.4797,2.0855,0.5234,0.2751,False
mvtec,transistor,misplaced,95.3333,4,60,10,0.2184,0.4866,0.2682,0.1582,0.2405,0.4653,2.1384,0.5234,0.272,False
visa,cashew,Anomaly,90.95,1,50,100,0.2988,0.4559,0.1571,0.1218,0.1682,0.599,2.8804,0.4226,0.2018,False
visa,macaroni1,Anomaly,78.83,1,100,100,0.0496,0.075,0.0254,0.0276,0.0267,0.1632,1.5911,0.0901,0.0311,True
visa,macaroni2,Anomaly,66.795,1,100,100,0.1062,0.1364,0.0302,0.0584,0.0716,0.2815,1.1057,0.3701,0.0496,True
visa,pcb2,Anomaly,47.03,1,100,100,0.1524,0.1463,-0.0061,0.0339,0.0528,0.1735,0.7638,0.2815,0.0716,True
visa,pcb3,Anomaly,63.6584,1,101,100,0.056,0.0632,0.0072,0.016,0.0197,0.092,1.2136,0.0901,0.0357,True
