class,I-AUROC,I-AUROC(%)
bottle, 0.986, 98.6
cable,0.8520427286356822,85.20427286356822
capsule,0.686477861986438,68.6477861986438
carpet,0.9931781701444623,99.31781701444623
grid,0.9916457811194653,99.16457811194654
hazelnut,0.9246428571428572,92.46428571428572
leather,1.0,100.0
metal_nut,0.9545454545454546,95.45454545454545
pill,0.8134206219312603,81.34206219312603
screw,0.7199221151875385,71.99221151875385
tile,0.9992784992784992,99.92784992784992
toothbrush,0.8527777777777779,85.27777777777779
transistor,0.8935416666666667,89.35416666666667
wood,0.9763157894736842,97.63157894736842
zipper,0.9104516806722689,91.04516806722688
