dataset,sample_id,class,label,image_score,query_path
mvtec,000,bottle,1,0.53125,dataset\MVTec\bottle/test/broken_large/000.png
mvtec,001,bottle,1,0.5,dataset\MVTec\bottle/test/broken_large/001.png
mvtec,002,bottle,1,0.80322265625,dataset\MVTec\bottle/test/broken_large/002.png
mvtec,003,bottle,1,0.2254638671875,dataset\MVTec\bottle/test/broken_large/003.png
mvtec,004,bottle,1,0.63720703125,dataset\MVTec\bottle/test/broken_large/004.png
mvtec,005,bottle,1,0.46875,dataset\MVTec\bottle/test/broken_large/005.png
mvtec,006,bottle,1,0.76611328125,dataset\MVTec\bottle/test/broken_large/006.png
mvtec,007,bottle,1,0.46875,dataset\MVTec\bottle/test/broken_large/007.png
mvtec,008,bottle,1,0.4609375,dataset\MVTec\bottle/test/broken_large/008.png
mvtec,009,bottle,1,0.32763671875,dataset\MVTec\bottle/test/broken_large/009.png
mvtec,010,bottle,1,0.5927734375,dataset\MVTec\bottle/test/broken_large/010.png
mvtec,011,bottle,1,0.262939453125,dataset\MVTec\bottle/test/broken_large/011.png
mvtec,012,bottle,1,0.20947265625,dataset\MVTec\bottle/test/broken_large/012.png
mvtec,013,bottle,1,0.81298828125,dataset\MVTec\bottle/test/broken_large/013.png
mvtec,014,bottle,1,0.7373046875,dataset\MVTec\bottle/test/broken_large/014.png
mvtec,015,bottle,1,0.7607421875,dataset\MVTec\bottle/test/broken_large/015.png
mvtec,016,bottle,1,0.7607421875,dataset\MVTec\bottle/test/broken_large/016.png
mvtec,017,bottle,1,0.69921875,dataset\MVTec\bottle/test/broken_large/017.png
mvtec,018,bottle,1,0.8740234375,dataset\MVTec\bottle/test/broken_large/018.png
mvtec,019,bottle,1,0.73095703125,dataset\MVTec\bottle/test/broken_large/019.png
mvtec,000,bottle,1,0.0792236328125,dataset\MVTec\bottle/test/broken_small/000.png
mvtec,001,bottle,1,0.7490234375,dataset\MVTec\bottle/test/broken_small/001.png
mvtec,002,bottle,1,0.17333984375,dataset\MVTec\bottle/test/broken_small/002.png
mvtec,003,bottle,1,0.53125,dataset\MVTec\bottle/test/broken_small/003.png
mvtec,004,bottle,1,0.4072265625,dataset\MVTec\bottle/test/broken_small/004.png
mvtec,005,bottle,1,0.294189453125,dataset\MVTec\bottle/test/broken_small/005.png
mvtec,006,bottle,1,0.1259765625,dataset\MVTec\bottle/test/broken_small/006.png
mvtec,007,bottle,1,0.1895751953125,dataset\MVTec\bottle/test/broken_small/007.png
mvtec,008,bottle,1,0.60009765625,dataset\MVTec\bottle/test/broken_small/008.png
mvtec,009,bottle,1,0.39990234375,dataset\MVTec\bottle/test/broken_small/009.png
mvtec,010,bottle,1,0.615234375,dataset\MVTec\bottle/test/broken_small/010.png
mvtec,011,bottle,1,0.134765625,dataset\MVTec\bottle/test/broken_small/011.png
mvtec,012,bottle,1,0.57763671875,dataset\MVTec\bottle/test/broken_small/012.png
mvtec,013,bottle,1,0.1895751953125,dataset\MVTec\bottle/test/broken_small/013.png
mvtec,014,bottle,1,0.10821533203125,dataset\MVTec\bottle/test/broken_small/014.png
mvtec,015,bottle,1,0.4921875,dataset\MVTec\bottle/test/broken_small/015.png
mvtec,016,bottle,1,0.1871337890625,dataset\MVTec\bottle/test/broken_small/016.png
mvtec,017,bottle,1,0.515625,dataset\MVTec\bottle/test/broken_small/017.png
mvtec,018,bottle,1,0.67919921875,dataset\MVTec\bottle/test/broken_small/018.png
mvtec,019,bottle,1,0.484375,dataset\MVTec\bottle/test/broken_small/019.png
mvtec,020,bottle,1,0.86328125,dataset\MVTec\bottle/test/broken_small/020.png
mvtec,021,bottle,1,0.3486328125,dataset\MVTec\bottle/test/broken_small/021.png
mvtec,000,bottle,1,0.2017822265625,dataset\MVTec\bottle/test/contamination/000.png
mvtec,001,bottle,1,0.1441650390625,dataset\MVTec\bottle/test/contamination/001.png
mvtec,002,bottle,1,0.39990234375,dataset\MVTec\bottle/test/contamination/002.png
mvtec,003,bottle,1,0.090087890625,dataset\MVTec\bottle/test/contamination/003.png
mvtec,004,bottle,1,0.07696533203125,dataset\MVTec\bottle/test/contamination/004.png
mvtec,005,bottle,1,0.955078125,dataset\MVTec\bottle/test/contamination/005.png
mvtec,006,bottle,1,0.2254638671875,dataset\MVTec\bottle/test/contamination/006.png
mvtec,007,bottle,1,0.546875,dataset\MVTec\bottle/test/contamination/007.png
mvtec,008,bottle,1,0.058349609375,dataset\MVTec\bottle/test/contamination/008.png
mvtec,009,bottle,1,0.07366943359375,dataset\MVTec\bottle/test/contamination/009.png
mvtec,010,bottle,1,0.08880615234375,dataset\MVTec\bottle/test/contamination/010.png
mvtec,011,bottle,1,0.08880615234375,dataset\MVTec\bottle/test/contamination/011.png
mvtec,012,bottle,1,0.0526123046875,dataset\MVTec\bottle/test/contamination/012.png
mvtec,013,bottle,1,0.12249755859375,dataset\MVTec\bottle/test/contamination/013.png
mvtec,014,bottle,1,0.10968017578125,dataset\MVTec\bottle/test/contamination/014.png
mvtec,015,bottle,1,0.0994873046875,dataset\MVTec\bottle/test/contamination/015.png
