dataset,sample_id,class,label,image_score,query_path
mvtec,000,cable,1,0.1361083984375,dataset\MVTec\cable/test/bent_wire/000.png
mvtec,001,cable,1,0.1451416015625,dataset\MVTec\cable/test/bent_wire/001.png
mvtec,002,cable,1,0.1441650390625,dataset\MVTec\cable/test/bent_wire/002.png
mvtec,003,cable,1,0.363037109375,dataset\MVTec\cable/test/bent_wire/003.png
mvtec,004,cable,1,0.32763671875,dataset\MVTec\cable/test/bent_wire/004.png
mvtec,005,cable,1,0.31396484375,dataset\MVTec\cable/test/bent_wire/005.png
mvtec,006,cable,1,0.1451416015625,dataset\MVTec\cable/test/bent_wire/006.png
mvtec,007,cable,1,0.2281494140625,dataset\MVTec\cable/test/bent_wire/007.png
mvtec,008,cable,1,0.0850830078125,dataset\MVTec\cable/test/bent_wire/008.png
mvtec,009,cable,1,0.1766357421875,dataset\MVTec\cable/test/bent_wire/009.png
mvtec,010,cable,1,0.501953125,dataset\MVTec\cable/test/bent_wire/010.png
mvtec,011,cable,1,0.5888671875,dataset\MVTec\cable/test/bent_wire/011.png
mvtec,012,cable,1,0.36669921875,dataset\MVTec\cable/test/bent_wire/012.png
mvtec,000,cable,1,0.106689453125,dataset\MVTec\cable/test/cable_swap/000.png
mvtec,001,cable,1,0.11920166015625,dataset\MVTec\cable/test/cable_swap/001.png
mvtec,002,cable,1,0.134765625,dataset\MVTec\cable/test/cable_swap/002.png
mvtec,003,cable,1,0.1466064453125,dataset\MVTec\cable/test/cable_swap/003.png
mvtec,004,cable,1,0.16455078125,dataset\MVTec\cable/test/cable_swap/004.png
mvtec,005,cable,1,0.107421875,dataset\MVTec\cable/test/cable_swap/005.png
mvtec,006,cable,1,0.138916015625,dataset\MVTec\cable/test/cable_swap/006.png
mvtec,007,cable,1,0.11676025390625,dataset\MVTec\cable/test/cable_swap/007.png
mvtec,008,cable,1,0.0994873046875,dataset\MVTec\cable/test/cable_swap/008.png
mvtec,009,cable,1,0.06878662109375,dataset\MVTec\cable/test/cable_swap/009.png
mvtec,010,cable,1,0.285400390625,dataset\MVTec\cable/test/cable_swap/010.png
mvtec,011,cable,1,0.154052734375,dataset\MVTec\cable/test/cable_swap/011.png
mvtec,000,cable,1,0.093994140625,dataset\MVTec\cable/test/combined/000.png
mvtec,001,cable,1,0.265869140625,dataset\MVTec\cable/test/combined/001.png
mvtec,002,cable,1,0.346923828125,dataset\MVTec\cable/test/combined/002.png
mvtec,003,cable,1,0.1422119140625,dataset\MVTec\cable/test/combined/003.png
mvtec,004,cable,1,0.18359375,dataset\MVTec\cable/test/combined/004.png
mvtec,005,cable,1,0.1143798828125,dataset\MVTec\cable/test/combined/005.png
mvtec,006,cable,1,0.219970703125,dataset\MVTec\cable/test/combined/006.png
mvtec,007,cable,1,0.20947265625,dataset\MVTec\cable/test/combined/007.png
mvtec,008,cable,1,0.25830078125,dataset\MVTec\cable/test/combined/008.png
mvtec,009,cable,1,0.1199951171875,dataset\MVTec\cable/test/combined/009.png
mvtec,010,cable,1,0.2958984375,dataset\MVTec\cable/test/combined/010.png
mvtec,000,cable,1,0.294189453125,dataset\MVTec\cable/test/cut_inner_insulation/000.png
mvtec,001,cable,1,0.1019287109375,dataset\MVTec\cable/test/cut_inner_insulation/001.png
mvtec,002,cable,1,0.07586669921875,dataset\MVTec\cable/test/cut_inner_insulation/002.png
mvtec,003,cable,1,0.2069091796875,dataset\MVTec\cable/test/cut_inner_insulation/003.png
mvtec,004,cable,1,0.115966796875,dataset\MVTec\cable/test/cut_inner_insulation/004.png
mvtec,005,cable,1,0.1375732421875,dataset\MVTec\cable/test/cut_inner_insulation/005.png
mvtec,006,cable,1,0.08038330078125,dataset\MVTec\cable/test/cut_inner_insulation/006.png
mvtec,007,cable,1,0.2108154296875,dataset\MVTec\cable/test/cut_inner_insulation/007.png
mvtec,008,cable,1,0.0953369140625,dataset\MVTec\cable/test/cut_inner_insulation/008.png
mvtec,009,cable,1,0.39599609375,dataset\MVTec\cable/test/cut_inner_insulation/009.png
mvtec,010,cable,1,0.132080078125,dataset\MVTec\cable/test/cut_inner_insulation/010.png
mvtec,011,cable,1,0.12939453125,dataset\MVTec\cable/test/cut_inner_insulation/011.png
mvtec,012,cable,1,0.330322265625,dataset\MVTec\cable/test/cut_inner_insulation/012.png
mvtec,013,cable,1,0.219970703125,dataset\MVTec\cable/test/cut_inner_insulation/013.png
mvtec,000,cable,1,0.158203125,dataset\MVTec\cable/test/cut_outer_insulation/000.png
mvtec,001,cable,1,0.154052734375,dataset\MVTec\cable/test/cut_outer_insulation/001.png
mvtec,002,cable,1,0.1466064453125,dataset\MVTec\cable/test/cut_outer_insulation/002.png
mvtec,003,cable,1,0.08538818359375,dataset\MVTec\cable/test/cut_outer_insulation/003.png
mvtec,004,cable,1,0.092041015625,dataset\MVTec\cable/test/cut_outer_insulation/004.png
mvtec,005,cable,1,0.27978515625,dataset\MVTec\cable/test/cut_outer_insulation/005.png
mvtec,006,cable,1,0.118408203125,dataset\MVTec\cable/test/cut_outer_insulation/006.png
mvtec,007,cable,1,0.1495361328125,dataset\MVTec\cable/test/cut_outer_insulation/007.png
mvtec,008,cable,1,0.09271240234375,dataset\MVTec\cable/test/cut_outer_insulation/008.png
mvtec,009,cable,1,0.1312255859375,dataset\MVTec\cable/test/cut_outer_insulation/009.png
mvtec,000,cable,0,0.06634521484375,dataset\MVTec\cable/test/good/000.png
mvtec,001,cable,0,0.095703125,dataset\MVTec\cable/test/good/001.png
mvtec,002,cable,0,0.0885009765625,dataset\MVTec\cable/test/good/002.png
mvtec,003,cable,0,0.09600830078125,dataset\MVTec\cable/test/good/003.png
mvtec,004,cable,0,0.1505126953125,dataset\MVTec\cable/test/good/004.png
mvtec,005,cable,0,0.1510009765625,dataset\MVTec\cable/test/good/005.png
mvtec,006,cable,0,0.11358642578125,dataset\MVTec\cable/test/good/006.png
mvtec,007,cable,0,0.11199951171875,dataset\MVTec\cable/test/good/007.png
mvtec,008,cable,0,0.042388916015625,dataset\MVTec\cable/test/good/008.png
mvtec,009,cable,0,0.08447265625,dataset\MVTec\cable/test/good/009.png
mvtec,010,cable,0,0.155029296875,dataset\MVTec\cable/test/good/010.png
mvtec,011,cable,0,0.04534912109375,dataset\MVTec\cable/test/good/011.png
mvtec,012,cable,0,0.040374755859375,dataset\MVTec\cable/test/good/012.png
mvtec,013,cable,0,0.07080078125,dataset\MVTec\cable/test/good/013.png
mvtec,014,cable,0,0.0843505859375,dataset\MVTec\cable/test/good/014.png
mvtec,015,cable,0,0.091064453125,dataset\MVTec\cable/test/good/015.png
mvtec,016,cable,0,0.06585693359375,dataset\MVTec\cable/test/good/016.png
mvtec,017,cable,0,0.0863037109375,dataset\MVTec\cable/test/good/017.png
mvtec,018,cable,0,0.07080078125,dataset\MVTec\cable/test/good/018.png
mvtec,019,cable,0,0.1055908203125,dataset\MVTec\cable/test/good/019.png
mvtec,020,cable,0,0.12939453125,dataset\MVTec\cable/test/good/020.png
mvtec,021,cable,0,0.07781982421875,dataset\MVTec\cable/test/good/021.png
mvtec,022,cable,0,0.06829833984375,dataset\MVTec\cable/test/good/022.png
mvtec,023,cable,0,0.107421875,dataset\MVTec\cable/test/good/023.png
mvtec,024,cable,0,0.07806396484375,dataset\MVTec\cable/test/good/024.png
mvtec,025,cable,0,0.07183837890625,dataset\MVTec\cable/test/good/025.png
mvtec,026,cable,0,0.085693359375,dataset\MVTec\cable/test/good/026.png
mvtec,027,cable,0,0.171630859375,dataset\MVTec\cable/test/good/027.png
mvtec,028,cable,0,0.06512451171875,dataset\MVTec\cable/test/good/028.png
mvtec,029,cable,0,0.08270263671875,dataset\MVTec\cable/test/good/029.png
mvtec,030,cable,0,0.16455078125,dataset\MVTec\cable/test/good/030.png
mvtec,031,cable,0,0.0792236328125,dataset\MVTec\cable/test/good/031.png
mvtec,032,cable,0,0.106689453125,dataset\MVTec\cable/test/good/032.png
mvtec,033,cable,0,0.08819580078125,dataset\MVTec\cable/test/good/033.png
mvtec,034,cable,0,0.1044921875,dataset\MVTec\cable/test/good/034.png
mvtec,035,cable,0,0.049041748046875,dataset\MVTec\cable/test/good/035.png
mvtec,036,cable,0,0.07208251953125,dataset\MVTec\cable/test/good/036.png
mvtec,037,cable,0,0.07861328125,dataset\MVTec\cable/test/good/037.png
mvtec,038,cable,0,0.154541015625,dataset\MVTec\cable/test/good/038.png
mvtec,039,cable,0,0.17333984375,dataset\MVTec\cable/test/good/039.png
mvtec,040,cable,0,0.040985107421875,dataset\MVTec\cable/test/good/040.png
mvtec,041,cable,0,0.10089111328125,dataset\MVTec\cable/test/good/041.png
mvtec,042,cable,0,0.06512451171875,dataset\MVTec\cable/test/good/042.png
mvtec,043,cable,0,0.08209228515625,dataset\MVTec\cable/test/good/043.png
mvtec,044,cable,0,0.05072021484375,dataset\MVTec\cable/test/good/044.png
mvtec,045,cable,0,0.038604736328125,dataset\MVTec\cable/test/good/045.png
mvtec,046,cable,0,0.053802490234375,dataset\MVTec\cable/test/good/046.png
mvtec,047,cable,0,0.048858642578125,dataset\MVTec\cable/test/good/047.png
mvtec,048,cable,0,0.059112548828125,dataset\MVTec\cable/test/good/048.png
mvtec,049,cable,0,0.0836181640625,dataset\MVTec\cable/test/good/049.png
mvtec,050,cable,0,0.0704345703125,dataset\MVTec\cable/test/good/050.png
mvtec,051,cable,0,0.1070556640625,dataset\MVTec\cable/test/good/051.png
mvtec,052,cable,0,0.0794677734375,dataset\MVTec\cable/test/good/052.png
mvtec,053,cable,0,0.040008544921875,dataset\MVTec\cable/test/good/053.png
mvtec,054,cable,0,0.0634765625,dataset\MVTec\cable/test/good/054.png
mvtec,055,cable,0,0.04486083984375,dataset\MVTec\cable/test/good/055.png
mvtec,056,cable,0,0.052032470703125,dataset\MVTec\cable/test/good/056.png
mvtec,057,cable,0,0.029541015625,dataset\MVTec\cable/test/good/057.png
mvtec,000,cable,1,0.106689453125,dataset\MVTec\cable/test/missing_cable/000.png
mvtec,001,cable,1,0.1871337890625,dataset\MVTec\cable/test/missing_cable/001.png
mvtec,002,cable,1,0.359375,dataset\MVTec\cable/test/missing_cable/002.png
mvtec,003,cable,1,0.16455078125,dataset\MVTec\cable/test/missing_cable/003.png
mvtec,004,cable,1,0.2108154296875,dataset\MVTec\cable/test/missing_cable/004.png
mvtec,005,cable,1,0.155029296875,dataset\MVTec\cable/test/missing_cable/005.png
mvtec,006,cable,1,0.2005615234375,dataset\MVTec\cable/test/missing_cable/006.png
mvtec,007,cable,1,0.140380859375,dataset\MVTec\cable/test/missing_cable/007.png
mvtec,008,cable,1,0.1634521484375,dataset\MVTec\cable/test/missing_cable/008.png
mvtec,009,cable,1,0.484375,dataset\MVTec\cable/test/missing_cable/009.png
mvtec,010,cable,1,0.070556640625,dataset\MVTec\cable/test/missing_cable/010.png
mvtec,011,cable,1,0.259765625,dataset\MVTec\cable/test/missing_cable/011.png
mvtec,000,cable,1,0.063720703125,dataset\MVTec\cable/test/missing_wire/000.png
mvtec,001,cable,1,0.082275390625,dataset\MVTec\cable/test/missing_wire/001.png
mvtec,002,cable,1,0.09912109375,dataset\MVTec\cable/test/missing_wire/002.png
mvtec,003,cable,1,0.127685546875,dataset\MVTec\cable/test/missing_wire/003.png
mvtec,004,cable,1,0.1451416015625,dataset\MVTec\cable/test/missing_wire/004.png
mvtec,005,cable,1,0.2005615234375,dataset\MVTec\cable/test/missing_wire/005.png
mvtec,006,cable,1,0.107421875,dataset\MVTec\cable/test/missing_wire/006.png
mvtec,007,cable,1,0.09600830078125,dataset\MVTec\cable/test/missing_wire/007.png
mvtec,008,cable,1,0.1900634765625,dataset\MVTec\cable/test/missing_wire/008.png
mvtec,009,cable,1,0.07318115234375,dataset\MVTec\cable/test/missing_wire/009.png
mvtec,000,cable,1,0.1187744140625,dataset\MVTec\cable/test/poke_insulation/000.png
mvtec,001,cable,1,0.09173583984375,dataset\MVTec\cable/test/poke_insulation/001.png
mvtec,002,cable,1,0.08123779296875,dataset\MVTec\cable/test/poke_insulation/002.png
mvtec,003,cable,1,0.16455078125,dataset\MVTec\cable/test/poke_insulation/003.png
mvtec,004,cable,1,0.063720703125,dataset\MVTec\cable/test/poke_insulation/004.png
mvtec,005,cable,1,0.1607666015625,dataset\MVTec\cable/test/poke_insulation/005.png
mvtec,006,cable,1,0.1510009765625,dataset\MVTec\cable/test/poke_insulation/006.png
mvtec,007,cable,1,0.1175537109375,dataset\MVTec\cable/test/poke_insulation/007.png
mvtec,008,cable,1,0.1357421875,dataset\MVTec\cable/test/poke_insulation/008.png
mvtec,009,cable,1,0.1412353515625,dataset\MVTec\cable/test/poke_insulation/009.png
