dataset,sample_id,class,label,image_score,query_path
visa,062,capsules,0,0.08270263671875,dataset\Visa\capsules/Data/Images/Normal/062.JPG
visa,240,capsules,0,0.051849365234375,dataset\Visa\capsules/Data/Images/Normal/240.JPG
visa,179,capsules,0,0.0574951171875,dataset\Visa\capsules/Data/Images/Normal/179.JPG
visa,288,capsules,0,0.056640625,dataset\Visa\capsules/Data/Images/Normal/288.JPG
visa,324,capsules,0,0.06658935546875,dataset\Visa\capsules/Data/Images/Normal/324.JPG
visa,152,capsules,0,0.07806396484375,dataset\Visa\capsules/Data/Images/Normal/152.JPG
visa,576,capsules,0,0.106689453125,dataset\Visa\capsules/Data/Images/Normal/576.JPG
visa,107,capsules,0,0.0592041015625,dataset\Visa\capsules/Data/Images/Normal/107.JPG
visa,484,capsules,0,0.06280517578125,dataset\Visa\capsules/Data/Images/Normal/484.JPG
visa,303,capsules,0,0.1143798828125,dataset\Visa\capsules/Data/Images/Normal/303.JPG
visa,237,capsules,0,0.07159423828125,dataset\Visa\capsules/Data/Images/Normal/237.JPG
visa,394,capsules,0,0.09136962890625,dataset\Visa\capsules/Data/Images/Normal/394.JPG
visa,214,capsules,0,0.060089111328125,dataset\Visa\capsules/Data/Images/Normal/214.JPG
visa,594,capsules,0,0.0618896484375,dataset\Visa\capsules/Data/Images/Normal/594.JPG
visa,377,capsules,0,0.0574951171875,dataset\Visa\capsules/Data/Images/Normal/377.JPG
visa,514,capsules,0,0.06463623046875,dataset\Visa\capsules/Data/Images/Normal/514.JPG
visa,172,capsules,0,0.07586669921875,dataset\Visa\capsules/Data/Images/Normal/172.JPG
visa,483,capsules,0,0.08270263671875,dataset\Visa\capsules/Data/Images/Normal/483.JPG
visa,400,capsules,0,0.09271240234375,dataset\Visa\capsules/Data/Images/Normal/400.JPG
visa,469,capsules,0,0.055816650390625,dataset\Visa\capsules/Data/Images/Normal/469.JPG
visa,525,capsules,0,0.0390625,dataset\Visa\capsules/Data/Images/Normal/525.JPG
visa,170,capsules,0,0.06658935546875,dataset\Visa\capsules/Data/Images/Normal/170.JPG
visa,320,capsules,0,0.0618896484375,dataset\Visa\capsules/Data/Images/Normal/320.JPG
visa,423,capsules,0,0.093994140625,dataset\Visa\capsules/Data/Images/Normal/423.JPG
visa,417,capsules,0,0.08154296875,dataset\Visa\capsules/Data/Images/Normal/417.JPG
visa,306,capsules,0,0.0592041015625,dataset\Visa\capsules/Data/Images/Normal/306.JPG
visa,011,capsules,0,0.07476806640625,dataset\Visa\capsules/Data/Images/Normal/011.JPG
visa,215,capsules,0,0.05419921875,dataset\Visa\capsules/Data/Images/Normal/215.JPG
visa,159,capsules,0,0.06280517578125,dataset\Visa\capsules/Data/Images/Normal/159.JPG
visa,518,capsules,0,0.07366943359375,dataset\Visa\capsules/Data/Images/Normal/518.JPG
visa,026,capsules,0,0.063720703125,dataset\Visa\capsules/Data/Images/Normal/026.JPG
visa,580,capsules,0,0.06463623046875,dataset\Visa\capsules/Data/Images/Normal/580.JPG
visa,402,capsules,0,0.10089111328125,dataset\Visa\capsules/Data/Images/Normal/402.JPG
visa,294,capsules,0,0.0726318359375,dataset\Visa\capsules/Data/Images/Normal/294.JPG
visa,016,capsules,0,0.06561279296875,dataset\Visa\capsules/Data/Images/Normal/016.JPG
visa,046,capsules,0,0.05108642578125,dataset\Visa\capsules/Data/Images/Normal/046.JPG
visa,208,capsules,0,0.0460205078125,dataset\Visa\capsules/Data/Images/Normal/208.JPG
visa,427,capsules,0,0.09271240234375,dataset\Visa\capsules/Data/Images/Normal/427.JPG
visa,552,capsules,0,0.07159423828125,dataset\Visa\capsules/Data/Images/Normal/552.JPG
visa,333,capsules,0,0.06854248046875,dataset\Visa\capsules/Data/Images/Normal/333.JPG
visa,027,capsules,0,0.07476806640625,dataset\Visa\capsules/Data/Images/Normal/027.JPG
visa,100,capsules,0,0.0850830078125,dataset\Visa\capsules/Data/Images/Normal/100.JPG
visa,013,capsules,0,0.07476806640625,dataset\Visa\capsules/Data/Images/Normal/013.JPG
visa,297,capsules,0,0.07586669921875,dataset\Visa\capsules/Data/Images/Normal/297.JPG
visa,457,capsules,0,0.0574951171875,dataset\Visa\capsules/Data/Images/Normal/457.JPG
visa,520,capsules,0,0.0792236328125,dataset\Visa\capsules/Data/Images/Normal/520.JPG
visa,174,capsules,0,0.08270263671875,dataset\Visa\capsules/Data/Images/Normal/174.JPG
visa,261,capsules,0,0.06463623046875,dataset\Visa\capsules/Data/Images/Normal/261.JPG
visa,286,capsules,0,0.06463623046875,dataset\Visa\capsules/Data/Images/Normal/286.JPG
visa,363,capsules,0,0.07586669921875,dataset\Visa\capsules/Data/Images/Normal/363.JPG
visa,024,capsules,0,0.07366943359375,dataset\Visa\capsules/Data/Images/Normal/024.JPG
visa,178,capsules,0,0.060089111328125,dataset\Visa\capsules/Data/Images/Normal/178.JPG
visa,479,capsules,0,0.06097412109375,dataset\Visa\capsules/Data/Images/Normal/479.JPG
visa,569,capsules,0,0.1175537109375,dataset\Visa\capsules/Data/Images/Normal/569.JPG
