dataset,sample_id,class,label,image_score,query_path
mvtec,000,carpet,1,0.70556640625,dataset\MVTec\carpet/test/color/000.png
mvtec,001,carpet,1,0.359375,dataset\MVTec\carpet/test/color/001.png
mvtec,002,carpet,1,0.42626953125,dataset\MVTec\carpet/test/color/002.png
mvtec,003,carpet,1,0.55078125,dataset\MVTec\carpet/test/color/003.png
mvtec,004,carpet,1,0.5849609375,dataset\MVTec\carpet/test/color/004.png
mvtec,005,carpet,1,0.55078125,dataset\MVTec\carpet/test/color/005.png
mvtec,006,carpet,1,0.4765625,dataset\MVTec\carpet/test/color/006.png
mvtec,007,carpet,1,0.48828125,dataset\MVTec\carpet/test/color/007.png
mvtec,008,carpet,1,0.90576171875,dataset\MVTec\carpet/test/color/008.png
mvtec,009,carpet,1,0.64404296875,dataset\MVTec\carpet/test/color/009.png
mvtec,010,carpet,1,0.32763671875,dataset\MVTec\carpet/test/color/010.png
mvtec,011,carpet,1,0.381103515625,dataset\MVTec\carpet/test/color/011.png
mvtec,012,carpet,1,0.640625,dataset\MVTec\carpet/test/color/012.png
mvtec,013,carpet,1,0.2337646484375,dataset\MVTec\carpet/test/color/013.png
mvtec,014,carpet,1,0.265869140625,dataset\MVTec\carpet/test/color/014.png
mvtec,015,carpet,1,0.403564453125,dataset\MVTec\carpet/test/color/015.png
mvtec,016,carpet,1,0.3701171875,dataset\MVTec\carpet/test/color/016.png
mvtec,017,carpet,1,0.43408203125,dataset\MVTec\carpet/test/color/017.png
mvtec,018,carpet,1,0.32080078125,dataset\MVTec\carpet/test/color/018.png
mvtec,000,carpet,1,0.46484375,dataset\MVTec\carpet/test/cut/000.png
mvtec,001,carpet,1,0.5,dataset\MVTec\carpet/test/cut/001.png
mvtec,002,carpet,1,0.22265625,dataset\MVTec\carpet/test/cut/002.png
mvtec,003,carpet,1,0.385009765625,dataset\MVTec\carpet/test/cut/003.png
mvtec,004,carpet,1,0.106689453125,dataset\MVTec\carpet/test/cut/004.png
mvtec,005,carpet,1,0.392333984375,dataset\MVTec\carpet/test/cut/005.png
mvtec,006,carpet,1,0.352294921875,dataset\MVTec\carpet/test/cut/006.png
mvtec,007,carpet,1,0.30078125,dataset\MVTec\carpet/test/cut/007.png
mvtec,008,carpet,1,0.10968017578125,dataset\MVTec\carpet/test/cut/008.png
mvtec,009,carpet,1,0.763671875,dataset\MVTec\carpet/test/cut/009.png
mvtec,010,carpet,1,0.2451171875,dataset\MVTec\carpet/test/cut/010.png
mvtec,011,carpet,1,0.53515625,dataset\MVTec\carpet/test/cut/011.png
mvtec,012,carpet,1,0.5390625,dataset\MVTec\carpet/test/cut/012.png
mvtec,013,carpet,1,0.39990234375,dataset\MVTec\carpet/test/cut/013.png
mvtec,014,carpet,1,0.204345703125,dataset\MVTec\carpet/test/cut/014.png
mvtec,015,carpet,1,0.418701171875,dataset\MVTec\carpet/test/cut/015.png
mvtec,016,carpet,1,0.1710205078125,dataset\MVTec\carpet/test/cut/016.png
mvtec,000,carpet,0,0.0164031982421875,dataset\MVTec\carpet/test/good/000.png
mvtec,001,carpet,0,0.0390625,dataset\MVTec\carpet/test/good/001.png
mvtec,002,carpet,0,0.03460693359375,dataset\MVTec\carpet/test/good/002.png
mvtec,003,carpet,0,0.0182647705078125,dataset\MVTec\carpet/test/good/003.png
mvtec,004,carpet,0,0.03460693359375,dataset\MVTec\carpet/test/good/004.png
mvtec,005,carpet,0,0.0203399658203125,dataset\MVTec\carpet/test/good/005.png
mvtec,006,carpet,0,0.041473388671875,dataset\MVTec\carpet/test/good/006.png
mvtec,007,carpet,0,0.03515625,dataset\MVTec\carpet/test/good/007.png
mvtec,008,carpet,0,0.03021240234375,dataset\MVTec\carpet/test/good/008.png
mvtec,009,carpet,0,0.050323486328125,dataset\MVTec\carpet/test/good/009.png
mvtec,010,carpet,0,0.033599853515625,dataset\MVTec\carpet/test/good/010.png
mvtec,011,carpet,0,0.0244293212890625,dataset\MVTec\carpet/test/good/011.png
mvtec,012,carpet,0,0.03790283203125,dataset\MVTec\carpet/test/good/012.png
mvtec,013,carpet,0,0.044677734375,dataset\MVTec\carpet/test/good/013.png
mvtec,014,carpet,0,0.049591064453125,dataset\MVTec\carpet/test/good/014.png
mvtec,015,carpet,0,0.06658935546875,dataset\MVTec\carpet/test/good/015.png
mvtec,016,carpet,0,0.0284423828125,dataset\MVTec\carpet/test/good/016.png
mvtec,017,carpet,0,0.0271759033203125,dataset\MVTec\carpet/test/good/017.png
mvtec,018,carpet,0,0.030670166015625,dataset\MVTec\carpet/test/good/018.png
mvtec,019,carpet,0,0.0259552001953125,dataset\MVTec\carpet/test/good/019.png
mvtec,020,carpet,0,0.0226287841796875,dataset\MVTec\carpet/test/good/020.png
mvtec,021,carpet,0,0.06658935546875,dataset\MVTec\carpet/test/good/021.png
mvtec,022,carpet,0,0.033599853515625,dataset\MVTec\carpet/test/good/022.png
mvtec,023,carpet,0,0.036224365234375,dataset\MVTec\carpet/test/good/023.png
mvtec,024,carpet,0,0.0212860107421875,dataset\MVTec\carpet/test/good/024.png
mvtec,025,carpet,0,0.08880615234375,dataset\MVTec\carpet/test/good/025.png
mvtec,026,carpet,0,0.0330810546875,dataset\MVTec\carpet/test/good/026.png
mvtec,027,carpet,0,0.0226287841796875,dataset\MVTec\carpet/test/good/027.png
mvtec,000,carpet,1,0.138427734375,dataset\MVTec\carpet/test/hole/000.png
mvtec,001,carpet,1,0.158203125,dataset\MVTec\carpet/test/hole/001.png
mvtec,002,carpet,1,0.265869140625,dataset\MVTec\carpet/test/hole/002.png
mvtec,003,carpet,1,0.32763671875,dataset\MVTec\carpet/test/hole/003.png
