dataset,sample_id,class,label,image_score,query_path
mvtec,000,metal_nut,1,0.5546875,dataset\MVTec\metal_nut/test/bent/000.png
mvtec,001,metal_nut,1,0.46875,dataset\MVTec\metal_nut/test/bent/001.png
mvtec,002,metal_nut,1,0.4072265625,dataset\MVTec\metal_nut/test/bent/002.png
mvtec,003,metal_nut,1,0.385009765625,dataset\MVTec\metal_nut/test/bent/003.png
mvtec,004,metal_nut,1,0.385009765625,dataset\MVTec\metal_nut/test/bent/004.png
mvtec,005,metal_nut,1,0.4609375,dataset\MVTec\metal_nut/test/bent/005.png
mvtec,006,metal_nut,1,0.294189453125,dataset\MVTec\metal_nut/test/bent/006.png
mvtec,007,metal_nut,1,0.4921875,dataset\MVTec\metal_nut/test/bent/007.png
mvtec,008,metal_nut,1,0.4072265625,dataset\MVTec\metal_nut/test/bent/008.png
mvtec,009,metal_nut,1,0.515625,dataset\MVTec\metal_nut/test/bent/009.png
mvtec,010,metal_nut,1,0.51171875,dataset\MVTec\metal_nut/test/bent/010.png
mvtec,011,metal_nut,1,0.5078125,dataset\MVTec\metal_nut/test/bent/011.png
mvtec,012,metal_nut,1,0.53125,dataset\MVTec\metal_nut/test/bent/012.png
mvtec,013,metal_nut,1,0.5849609375,dataset\MVTec\metal_nut/test/bent/013.png
mvtec,014,metal_nut,1,0.4609375,dataset\MVTec\metal_nut/test/bent/014.png
mvtec,015,metal_nut,1,0.57763671875,dataset\MVTec\metal_nut/test/bent/015.png
mvtec,016,metal_nut,1,0.4609375,dataset\MVTec\metal_nut/test/bent/016.png
mvtec,017,metal_nut,1,0.53125,dataset\MVTec\metal_nut/test/bent/017.png
mvtec,018,metal_nut,1,0.5546875,dataset\MVTec\metal_nut/test/bent/018.png
mvtec,019,metal_nut,1,0.6298828125,dataset\MVTec\metal_nut/test/bent/019.png
mvtec,020,metal_nut,1,0.5390625,dataset\MVTec\metal_nut/test/bent/020.png
mvtec,021,metal_nut,1,0.6513671875,dataset\MVTec\metal_nut/test/bent/021.png
mvtec,022,metal_nut,1,0.341552734375,dataset\MVTec\metal_nut/test/bent/022.png
mvtec,023,metal_nut,1,0.658203125,dataset\MVTec\metal_nut/test/bent/023.png
mvtec,024,metal_nut,1,0.5234375,dataset\MVTec\metal_nut/test/bent/024.png
mvtec,000,metal_nut,1,0.39990234375,dataset\MVTec\metal_nut/test/color/000.png
mvtec,001,metal_nut,1,0.484375,dataset\MVTec\metal_nut/test/color/001.png
mvtec,002,metal_nut,1,0.48828125,dataset\MVTec\metal_nut/test/color/002.png
mvtec,003,metal_nut,1,0.69287109375,dataset\MVTec\metal_nut/test/color/003.png
mvtec,004,metal_nut,1,0.484375,dataset\MVTec\metal_nut/test/color/004.png
mvtec,005,metal_nut,1,0.4921875,dataset\MVTec\metal_nut/test/color/005.png
mvtec,006,metal_nut,1,0.33447265625,dataset\MVTec\metal_nut/test/color/006.png
mvtec,007,metal_nut,1,0.46875,dataset\MVTec\metal_nut/test/color/007.png
mvtec,008,metal_nut,1,0.66552734375,dataset\MVTec\metal_nut/test/color/008.png
mvtec,009,metal_nut,1,0.422607421875,dataset\MVTec\metal_nut/test/color/009.png
mvtec,010,metal_nut,1,0.46875,dataset\MVTec\metal_nut/test/color/010.png
mvtec,011,metal_nut,1,0.56201171875,dataset\MVTec\metal_nut/test/color/011.png
mvtec,012,metal_nut,1,0.5234375,dataset\MVTec\metal_nut/test/color/012.png
mvtec,013,metal_nut,1,0.4765625,dataset\MVTec\metal_nut/test/color/013.png
mvtec,014,metal_nut,1,0.437744140625,dataset\MVTec\metal_nut/test/color/014.png
