dataset,sample_id,class,label,image_score,query_path
visa,0107,pcb3,0,0.0592041015625,dataset\Visa\pcb3/Data/Images/Normal/0107.JPG
visa,0484,pcb3,0,0.05499267578125,dataset\Visa\pcb3/Data/Images/Normal/0484.JPG
visa,0690,pcb3,0,0.08038330078125,dataset\Visa\pcb3/Data/Images/Normal/0690.JPG
visa,0303,pcb3,0,0.040252685546875,dataset\Visa\pcb3/Data/Images/Normal/0303.JPG
visa,0237,pcb3,0,0.06561279296875,dataset\Visa\pcb3/Data/Images/Normal/0237.JPG
visa,0394,pcb3,0,0.048858642578125,dataset\Visa\pcb3/Data/Images/Normal/0394.JPG
visa,0214,pcb3,0,0.08880615234375,dataset\Visa\pcb3/Data/Images/Normal/0214.JPG
visa,0991,pcb3,0,0.051849365234375,dataset\Visa\pcb3/Data/Images/Normal/0991.JPG
visa,0657,pcb3,0,0.090087890625,dataset\Visa\pcb3/Data/Images/Normal/0657.JPG
visa,0377,pcb3,0,0.048126220703125,dataset\Visa\pcb3/Data/Images/Normal/0377.JPG
visa,0659,pcb3,0,0.0618896484375,dataset\Visa\pcb3/Data/Images/Normal/0659.JPG
visa,0514,pcb3,0,0.055816650390625,dataset\Visa\pcb3/Data/Images/Normal/0514.JPG
visa,0617,pcb3,0,0.046722412109375,dataset\Visa\pcb3/Data/Images/Normal/0617.JPG
visa,0725,pcb3,0,0.051849365234375,dataset\Visa\pcb3/Data/Images/Normal/0725.JPG
visa,0172,pcb3,0,0.0618896484375,dataset\Visa\pcb3/Data/Images/Normal/0172.JPG
visa,1002,pcb3,0,0.048858642578125,dataset\Visa\pcb3/Data/Images/Normal/1002.JPG
visa,0483,pcb3,0,0.06280517578125,dataset\Visa\pcb3/Data/Images/Normal/0483.JPG
visa,0654,pcb3,0,0.041473388671875,dataset\Visa\pcb3/Data/Images/Normal/0654.JPG
visa,0400,pcb3,0,0.06951904296875,dataset\Visa\pcb3/Data/Images/Normal/0400.JPG
visa,0469,pcb3,0,0.06854248046875,dataset\Visa\pcb3/Data/Images/Normal/0469.JPG
visa,0525,pcb3,0,0.05108642578125,dataset\Visa\pcb3/Data/Images/Normal/0525.JPG
visa,0170,pcb3,0,0.042083740234375,dataset\Visa\pcb3/Data/Images/Normal/0170.JPG
visa,0631,pcb3,0,0.048126220703125,dataset\Visa\pcb3/Data/Images/Normal/0631.JPG
visa,0685,pcb3,0,0.05108642578125,dataset\Visa\pcb3/Data/Images/Normal/0685.JPG
visa,0320,pcb3,0,0.042724609375,dataset\Visa\pcb3/Data/Images/Normal/0320.JPG
visa,0869,pcb3,0,0.048126220703125,dataset\Visa\pcb3/Data/Images/Normal/0869.JPG
visa,0423,pcb3,0,0.0592041015625,dataset\Visa\pcb3/Data/Images/Normal/0423.JPG
visa,0417,pcb3,0,0.051849365234375,dataset\Visa\pcb3/Data/Images/Normal/0417.JPG
visa,0751,pcb3,0,0.051849365234375,dataset\Visa\pcb3/Data/Images/Normal/0751.JPG
visa,0764,pcb3,0,0.044677734375,dataset\Visa\pcb3/Data/Images/Normal/0764.JPG
visa,0972,pcb3,0,0.055816650390625,dataset\Visa\pcb3/Data/Images/Normal/0972.JPG
visa,0730,pcb3,0,0.07586669921875,dataset\Visa\pcb3/Data/Images/Normal/0730.JPG
visa,0306,pcb3,0,0.056640625,dataset\Visa\pcb3/Data/Images/Normal/0306.JPG
visa,0011,pcb3,0,0.039642333984375,dataset\Visa\pcb3/Data/Images/Normal/0011.JPG
visa,0215,pcb3,0,0.039642333984375,dataset\Visa\pcb3/Data/Images/Normal/0215.JPG
visa,0159,pcb3,0,0.048858642578125,dataset\Visa\pcb3/Data/Images/Normal/0159.JPG
visa,0629,pcb3,0,0.05499267578125,dataset\Visa\pcb3/Data/Images/Normal/0629.JPG
visa,0694,pcb3,0,0.050323486328125,dataset\Visa\pcb3/Data/Images/Normal/0694.JPG
visa,0518,pcb3,0,0.0330810546875,dataset\Visa\pcb3/Data/Images/Normal/0518.JPG
visa,0940,pcb3,0,0.0792236328125,dataset\Visa\pcb3/Data/Images/Normal/0940.JPG
visa,0026,pcb3,0,0.058349609375,dataset\Visa\pcb3/Data/Images/Normal/0026.JPG
visa,0844,pcb3,0,0.03704833984375,dataset\Visa\pcb3/Data/Images/Normal/0844.JPG
visa,0958,pcb3,0,0.043701171875,dataset\Visa\pcb3/Data/Images/Normal/0958.JPG
visa,0900,pcb3,0,0.055816650390625,dataset\Visa\pcb3/Data/Images/Normal/0900.JPG
visa,0402,pcb3,0,0.0850830078125,dataset\Visa\pcb3/Data/Images/Normal/0402.JPG
visa,0621,pcb3,0,0.042083740234375,dataset\Visa\pcb3/Data/Images/Normal/0621.JPG
visa,0294,pcb3,0,0.05340576171875,dataset\Visa\pcb3/Data/Images/Normal/0294.JPG
visa,0016,pcb3,0,0.0460205078125,dataset\Visa\pcb3/Data/Images/Normal/0016.JPG
visa,0046,pcb3,0,0.07696533203125,dataset\Visa\pcb3/Data/Images/Normal/0046.JPG
visa,0705,pcb3,0,0.0526123046875,dataset\Visa\pcb3/Data/Images/Normal/0705.JPG
visa,0208,pcb3,0,0.06280517578125,dataset\Visa\pcb3/Data/Images/Normal/0208.JPG
visa,0674,pcb3,0,0.051849365234375,dataset\Visa\pcb3/Data/Images/Normal/0674.JPG
visa,0427,pcb3,0,0.063720703125,dataset\Visa\pcb3/Data/Images/Normal/0427.JPG
visa,0552,pcb3,0,0.08154296875,dataset\Visa\pcb3/Data/Images/Normal/0552.JPG
visa,0804,pcb3,0,0.060089111328125,dataset\Visa\pcb3/Data/Images/Normal/0804.JPG
visa,0333,pcb3,0,0.037322998046875,dataset\Visa\pcb3/Data/Images/Normal/0333.JPG
visa,0027,pcb3,0,0.048126220703125,dataset\Visa\pcb3/Data/Images/Normal/0027.JPG
visa,0100,pcb3,0,0.05108642578125,dataset\Visa\pcb3/Data/Images/Normal/0100.JPG
visa,0800,pcb3,0,0.06280517578125,dataset\Visa\pcb3/Data/Images/Normal/0800.JPG
visa,0923,pcb3,0,0.07159423828125,dataset\Visa\pcb3/Data/Images/Normal/0923.JPG
visa,0755,pcb3,0,0.049591064453125,dataset\Visa\pcb3/Data/Images/Normal/0755.JPG
visa,0013,pcb3,0,0.037322998046875,dataset\Visa\pcb3/Data/Images/Normal/0013.JPG
visa,0297,pcb3,0,0.0726318359375,dataset\Visa\pcb3/Data/Images/Normal/0297.JPG
visa,0768,pcb3,0,0.06951904296875,dataset\Visa\pcb3/Data/Images/Normal/0768.JPG
visa,0457,pcb3,0,0.048126220703125,dataset\Visa\pcb3/Data/Images/Normal/0457.JPG
visa,0520,pcb3,0,0.0325927734375,dataset\Visa\pcb3/Data/Images/Normal/0520.JPG
visa,0952,pcb3,0,0.063720703125,dataset\Visa\pcb3/Data/Images/Normal/0952.JPG
visa,0871,pcb3,0,0.08758544921875,dataset\Visa\pcb3/Data/Images/Normal/0871.JPG
visa,0811,pcb3,0,0.051849365234375,dataset\Visa\pcb3/Data/Images/Normal/0811.JPG
visa,0174,pcb3,0,0.048858642578125,dataset\Visa\pcb3/Data/Images/Normal/0174.JPG
visa,0648,pcb3,0,0.056640625,dataset\Visa\pcb3/Data/Images/Normal/0648.JPG
visa,0261,pcb3,0,0.055816650390625,dataset\Visa\pcb3/Data/Images/Normal/0261.JPG
visa,0784,pcb3,0,0.07366943359375,dataset\Visa\pcb3/Data/Images/Normal/0784.JPG
