dataset,sample_id,class,label,image_score,query_path
mvtec,000,pill,1,0.2451171875,dataset\MVTec\pill/test/color/000.png
mvtec,001,pill,1,0.32080078125,dataset\MVTec\pill/test/color/001.png
mvtec,002,pill,1,0.2337646484375,dataset\MVTec\pill/test/color/002.png
mvtec,003,pill,1,0.19677734375,dataset\MVTec\pill/test/color/003.png
mvtec,004,pill,1,0.355712890625,dataset\MVTec\pill/test/color/004.png
mvtec,005,pill,1,0.307373046875,dataset\MVTec\pill/test/color/005.png
mvtec,006,pill,1,0.22265625,dataset\MVTec\pill/test/color/006.png
mvtec,007,pill,1,0.22265625,dataset\MVTec\pill/test/color/007.png
mvtec,008,pill,1,0.30078125,dataset\MVTec\pill/test/color/008.png
mvtec,009,pill,1,0.341552734375,dataset\MVTec\pill/test/color/009.png
mvtec,010,pill,1,0.22265625,dataset\MVTec\pill/test/color/010.png
mvtec,011,pill,1,0.275146484375,dataset\MVTec\pill/test/color/011.png
mvtec,012,pill,1,0.32080078125,dataset\MVTec\pill/test/color/012.png
mvtec,013,pill,1,0.2393798828125,dataset\MVTec\pill/test/color/013.png
mvtec,014,pill,1,0.3486328125,dataset\MVTec\pill/test/color/014.png
mvtec,015,pill,1,0.26904296875,dataset\MVTec\pill/test/color/015.png
mvtec,016,pill,1,0.31396484375,dataset\MVTec\pill/test/color/016.png
mvtec,017,pill,1,0.2393798828125,dataset\MVTec\pill/test/color/017.png
mvtec,018,pill,1,0.294189453125,dataset\MVTec\pill/test/color/018.png
mvtec,019,pill,1,0.341552734375,dataset\MVTec\pill/test/color/019.png
mvtec,020,pill,1,0.30078125,dataset\MVTec\pill/test/color/020.png
mvtec,021,pill,1,0.363037109375,dataset\MVTec\pill/test/color/021.png
mvtec,022,pill,1,0.287841796875,dataset\MVTec\pill/test/color/022.png
mvtec,023,pill,1,0.307373046875,dataset\MVTec\pill/test/color/023.png
mvtec,024,pill,1,0.262939453125,dataset\MVTec\pill/test/color/024.png
mvtec,000,pill,1,0.4609375,dataset\MVTec\pill/test/combined/000.png
mvtec,001,pill,1,0.453369140625,dataset\MVTec\pill/test/combined/001.png
mvtec,002,pill,1,0.4921875,dataset\MVTec\pill/test/combined/002.png
mvtec,003,pill,1,0.31396484375,dataset\MVTec\pill/test/combined/003.png
mvtec,004,pill,1,0.385009765625,dataset\MVTec\pill/test/combined/004.png
mvtec,005,pill,1,0.46875,dataset\MVTec\pill/test/combined/005.png
mvtec,006,pill,1,0.307373046875,dataset\MVTec\pill/test/combined/006.png
mvtec,007,pill,1,0.363037109375,dataset\MVTec\pill/test/combined/007.png
mvtec,008,pill,1,0.37744140625,dataset\MVTec\pill/test/combined/008.png
mvtec,009,pill,1,0.3701171875,dataset\MVTec\pill/test/combined/009.png
mvtec,010,pill,1,0.46875,dataset\MVTec\pill/test/combined/010.png
mvtec,011,pill,1,0.43017578125,dataset\MVTec\pill/test/combined/011.png
mvtec,012,pill,1,0.385009765625,dataset\MVTec\pill/test/combined/012.png
mvtec,013,pill,1,0.37744140625,dataset\MVTec\pill/test/combined/013.png
mvtec,014,pill,1,0.4609375,dataset\MVTec\pill/test/combined/014.png
mvtec,015,pill,1,0.4609375,dataset\MVTec\pill/test/combined/015.png
mvtec,016,pill,1,0.53125,dataset\MVTec\pill/test/combined/016.png
mvtec,000,pill,1,0.2393798828125,dataset\MVTec\pill/test/contamination/000.png
mvtec,001,pill,1,0.30078125,dataset\MVTec\pill/test/contamination/001.png
mvtec,002,pill,1,0.294189453125,dataset\MVTec\pill/test/contamination/002.png
mvtec,003,pill,1,0.291015625,dataset\MVTec\pill/test/contamination/003.png
mvtec,004,pill,1,0.33447265625,dataset\MVTec\pill/test/contamination/004.png
mvtec,005,pill,1,0.2451171875,dataset\MVTec\pill/test/contamination/005.png
mvtec,006,pill,1,0.2337646484375,dataset\MVTec\pill/test/contamination/006.png
mvtec,007,pill,1,0.414794921875,dataset\MVTec\pill/test/contamination/007.png
mvtec,008,pill,1,0.31396484375,dataset\MVTec\pill/test/contamination/008.png
mvtec,009,pill,1,0.2281494140625,dataset\MVTec\pill/test/contamination/009.png
mvtec,010,pill,1,0.3701171875,dataset\MVTec\pill/test/contamination/010.png
mvtec,011,pill,1,0.32763671875,dataset\MVTec\pill/test/contamination/011.png
mvtec,012,pill,1,0.30078125,dataset\MVTec\pill/test/contamination/012.png
mvtec,013,pill,1,0.26904296875,dataset\MVTec\pill/test/contamination/013.png
mvtec,014,pill,1,0.275146484375,dataset\MVTec\pill/test/contamination/014.png
mvtec,015,pill,1,0.414794921875,dataset\MVTec\pill/test/contamination/015.png
mvtec,016,pill,1,0.363037109375,dataset\MVTec\pill/test/contamination/016.png
mvtec,017,pill,1,0.294189453125,dataset\MVTec\pill/test/contamination/017.png
mvtec,018,pill,1,0.31396484375,dataset\MVTec\pill/test/contamination/018.png
mvtec,019,pill,1,0.31396484375,dataset\MVTec\pill/test/contamination/019.png
mvtec,020,pill,1,0.275146484375,dataset\MVTec\pill/test/contamination/020.png
mvtec,000,pill,1,0.287841796875,dataset\MVTec\pill/test/crack/000.png
mvtec,001,pill,1,0.182373046875,dataset\MVTec\pill/test/crack/001.png
