dataset,sample_id,class,label,image_score,query_path
mvtec,000,toothbrush,1,0.5390625,dataset\MVTec\toothbrush/test/defective/000.png
mvtec,001,toothbrush,1,0.392333984375,dataset\MVTec\toothbrush/test/defective/001.png
mvtec,002,toothbrush,1,0.69921875,dataset\MVTec\toothbrush/test/defective/002.png
mvtec,003,toothbrush,1,0.437744140625,dataset\MVTec\toothbrush/test/defective/003.png
mvtec,004,toothbrush,1,0.5234375,dataset\MVTec\toothbrush/test/defective/004.png
mvtec,005,toothbrush,1,0.4072265625,dataset\MVTec\toothbrush/test/defective/005.png
mvtec,006,toothbrush,1,0.392333984375,dataset\MVTec\toothbrush/test/defective/006.png
mvtec,007,toothbrush,1,0.3701171875,dataset\MVTec\toothbrush/test/defective/007.png
mvtec,008,toothbrush,1,0.3701171875,dataset\MVTec\toothbrush/test/defective/008.png
mvtec,009,toothbrush,1,0.615234375,dataset\MVTec\toothbrush/test/defective/009.png
mvtec,010,toothbrush,1,0.3701171875,dataset\MVTec\toothbrush/test/defective/010.png
mvtec,011,toothbrush,1,0.307373046875,dataset\MVTec\toothbrush/test/defective/011.png
mvtec,012,toothbrush,1,0.4072265625,dataset\MVTec\toothbrush/test/defective/012.png
mvtec,013,toothbrush,1,0.32080078125,dataset\MVTec\toothbrush/test/defective/013.png
mvtec,014,toothbrush,1,0.388671875,dataset\MVTec\toothbrush/test/defective/014.png
mvtec,015,toothbrush,1,0.445556640625,dataset\MVTec\toothbrush/test/defective/015.png
mvtec,016,toothbrush,1,0.388671875,dataset\MVTec\toothbrush/test/defective/016.png
mvtec,017,toothbrush,1,0.57373046875,dataset\MVTec\toothbrush/test/defective/017.png
mvtec,018,toothbrush,1,0.2783203125,dataset\MVTec\toothbrush/test/defective/018.png
mvtec,019,toothbrush,1,0.33447265625,dataset\MVTec\toothbrush/test/defective/019.png
mvtec,020,toothbrush,1,0.46875,dataset\MVTec\toothbrush/test/defective/020.png
mvtec,021,toothbrush,1,0.385009765625,dataset\MVTec\toothbrush/test/defective/021.png
mvtec,022,toothbrush,1,0.204345703125,dataset\MVTec\toothbrush/test/defective/022.png
mvtec,023,toothbrush,1,0.355712890625,dataset\MVTec\toothbrush/test/defective/023.png
mvtec,024,toothbrush,1,0.385009765625,dataset\MVTec\toothbrush/test/defective/024.png
mvtec,025,toothbrush,1,0.26904296875,dataset\MVTec\toothbrush/test/defective/025.png
mvtec,026,toothbrush,1,0.441650390625,dataset\MVTec\toothbrush/test/defective/026.png
mvtec,027,toothbrush,1,0.32080078125,dataset\MVTec\toothbrush/test/defective/027.png
mvtec,028,toothbrush,1,0.422607421875,dataset\MVTec\toothbrush/test/defective/028.png
mvtec,029,toothbrush,1,0.23095703125,dataset\MVTec\toothbrush/test/defective/029.png
mvtec,000,toothbrush,0,0.32080078125,dataset\MVTec\toothbrush/test/good/000.png
mvtec,001,toothbrush,0,0.3701171875,dataset\MVTec\toothbrush/test/good/001.png
mvtec,002,toothbrush,0,0.341552734375,dataset\MVTec\toothbrush/test/good/002.png
mvtec,003,toothbrush,0,0.3701171875,dataset\MVTec\toothbrush/test/good/003.png
mvtec,004,toothbrush,0,0.2337646484375,dataset\MVTec\toothbrush/test/good/004.png
mvtec,005,toothbrush,0,0.21728515625,dataset\MVTec\toothbrush/test/good/005.png
mvtec,006,toothbrush,0,0.262939453125,dataset\MVTec\toothbrush/test/good/006.png
mvtec,007,toothbrush,0,0.3486328125,dataset\MVTec\toothbrush/test/good/007.png
mvtec,008,toothbrush,0,0.182373046875,dataset\MVTec\toothbrush/test/good/008.png
mvtec,009,toothbrush,0,0.2509765625,dataset\MVTec\toothbrush/test/good/009.png
mvtec,010,toothbrush,0,0.2281494140625,dataset\MVTec\toothbrush/test/good/010.png
mvtec,011,toothbrush,0,0.2509765625,dataset\MVTec\toothbrush/test/good/011.png
