dataset,sample_id,class,label,image_score,query_path
mvtec,000,wood,1,0.22265625,dataset\MVTec\wood/test/color/000.png
mvtec,001,wood,1,0.53125,dataset\MVTec\wood/test/color/001.png
mvtec,002,wood,1,0.5,dataset\MVTec\wood/test/color/002.png
mvtec,003,wood,1,0.310791015625,dataset\MVTec\wood/test/color/003.png
mvtec,004,wood,1,0.341552734375,dataset\MVTec\wood/test/color/004.png
mvtec,005,wood,1,0.158203125,dataset\MVTec\wood/test/color/005.png
mvtec,006,wood,1,0.79296875,dataset\MVTec\wood/test/color/006.png
mvtec,007,wood,1,0.69921875,dataset\MVTec\wood/test/color/007.png
mvtec,000,wood,1,0.46875,dataset\MVTec\wood/test/combined/000.png
mvtec,001,wood,1,0.2421875,dataset\MVTec\wood/test/combined/001.png
mvtec,002,wood,1,0.30078125,dataset\MVTec\wood/test/combined/002.png
mvtec,003,wood,1,0.484375,dataset\MVTec\wood/test/combined/003.png
mvtec,004,wood,1,0.120849609375,dataset\MVTec\wood/test/combined/004.png
mvtec,005,wood,1,0.32763671875,dataset\MVTec\wood/test/combined/005.png
mvtec,006,wood,1,0.0574951171875,dataset\MVTec\wood/test/combined/006.png
mvtec,007,wood,1,0.57763671875,dataset\MVTec\wood/test/combined/007.png
mvtec,008,wood,1,0.37744140625,dataset\MVTec\wood/test/combined/008.png
mvtec,009,wood,1,0.12420654296875,dataset\MVTec\wood/test/combined/009.png
mvtec,010,wood,1,0.62255859375,dataset\MVTec\wood/test/combined/010.png
mvtec,000,wood,0,0.0108184814453125,dataset\MVTec\wood/test/good/000.png
mvtec,001,wood,0,0.0103302001953125,dataset\MVTec\wood/test/good/001.png
mvtec,002,wood,0,0.007694244384765625,dataset\MVTec\wood/test/good/002.png
mvtec,003,wood,0,0.00885009765625,dataset\MVTec\wood/test/good/003.png
mvtec,004,wood,0,0.0103302001953125,dataset\MVTec\wood/test/good/004.png
mvtec,005,wood,0,0.011871337890625,dataset\MVTec\wood/test/good/005.png
mvtec,006,wood,0,0.01384735107421875,dataset\MVTec\wood/test/good/006.png
mvtec,007,wood,0,0.01473236083984375,dataset\MVTec\wood/test/good/007.png
mvtec,008,wood,0,0.011688232421875,dataset\MVTec\wood/test/good/008.png
mvtec,009,wood,0,0.040252685546875,dataset\MVTec\wood/test/good/009.png
mvtec,010,wood,0,0.01049041748046875,dataset\MVTec\wood/test/good/010.png
mvtec,011,wood,0,0.0154266357421875,dataset\MVTec\wood/test/good/011.png
mvtec,012,wood,0,0.0164031982421875,dataset\MVTec\wood/test/good/012.png
mvtec,013,wood,0,0.0164031982421875,dataset\MVTec\wood/test/good/013.png
mvtec,014,wood,0,0.049591064453125,dataset\MVTec\wood/test/good/014.png
mvtec,015,wood,0,0.03515625,dataset\MVTec\wood/test/good/015.png
mvtec,016,wood,0,0.07476806640625,dataset\MVTec\wood/test/good/016.png
mvtec,017,wood,0,0.06658935546875,dataset\MVTec\wood/test/good/017.png
mvtec,018,wood,0,0.06756591796875,dataset\MVTec\wood/test/good/018.png
mvtec,000,wood,1,0.341552734375,dataset\MVTec\wood/test/hole/000.png
mvtec,001,wood,1,0.32763671875,dataset\MVTec\wood/test/hole/001.png
mvtec,002,wood,1,0.32421875,dataset\MVTec\wood/test/hole/002.png
mvtec,003,wood,1,0.11126708984375,dataset\MVTec\wood/test/hole/003.png
mvtec,004,wood,1,0.72509765625,dataset\MVTec\wood/test/hole/004.png
mvtec,005,wood,1,0.63720703125,dataset\MVTec\wood/test/hole/005.png
mvtec,006,wood,1,0.11279296875,dataset\MVTec\wood/test/hole/006.png
